Pts,FPI
7.0,-0.7
24.0,-0.7
20.0,-0.7
32.0,-0.7
24.0,-0.7
24.0,10.0
0.0,10.0
21.0,3.1
30.0,3.1
10.0,3.1
13.0,3.1
17.0,3.1
31.0,3.1
9.0,3.1
16.0,4.0
10.0,4.0
20.0,4.0
17.0,4.0
24.0,4.0
20.0,4.0
33.0,4.0
27.0,4.1
31.0,4.1
24.0,4.1
7.0,4.1
9.0,4.1
24.0,4.1
14.0,4.1
22.0,-10.3
16.0,-10.3
0.0,-10.3
10.0,-10.3
7.0,-10.3
17.0,-10.3
16.0,-10.3
9.0,-10.3
13.0,-10.3
13.0,-10.3
18.0,-10.3
23.0,-10.3
9.0,-8.7
7.0,-8.7
16.0,-8.7
18.0,-8.7
24.0,-8.7
10.0,-8.7
10.0,-8.7
24.0,-8.7
21.0,-8.7
17.0,-8.7
14.0,-8.7
28.0,-8.7
3.0,-8.7
7.0,-8.7
16.0,-8.7
10.0,-8.7
20.0,1.9
7.0,1.9
16.0,1.9
9.0,1.9
38.0,1.9
24.0,1.9
27.0,1.9
20.0,-3.7
7.0,-3.7
7.0,-3.7
14.0,-3.7
20.0,-3.7
0.0,-3.7
24.0,-3.7
9.0,-3.7
7.0,-3.7
13.0,-5.7
7.0,-5.7
7.0,-5.7
33.0,-5.7
34.0,-5.7
6.0,-5.7
16.0,-5.7
7.0,-5.7
38.0,-5.7
14.0,-5.7
13.0,-5.7
16.0,-5.7
13.0,3.9
35.0,3.9
7.0,3.9
10.0,3.9
20.0,3.9
13.0,3.9
17.0,-5.0
12.0,-5.0
3.0,-5.0
17.0,-5.0
10.0,-5.0
24.0,-5.0
10.0,-5.0
14.0,-5.0
16.0,-5.0
7.0,-5.0
14.0,-5.0
23.0,-2.8
17.0,-2.8
10.0,-2.8
0.0,-2.8
28.0,-2.8
0.0,-2.8
17.0,-2.8
11.0,-2.8
24.0,-2.8
26.0,1.0
38.0,1.0
23.0,1.0
15.0,1.0
20.0,1.0
24.0,1.0
17.0,1.0
20.0,-7.3
19.0,-7.3
17.0,-7.3
6.0,-7.3
20.0,-7.3
12.0,-7.3
27.0,-7.3
0.0,-7.3
10.0,-7.3
28.0,-7.3
7.0,-7.3
7.0,2.9
9.0,2.9
30.0,2.9
31.0,2.9
17.0,2.9
12.0,2.9
6.0,2.9
20.0,0.1
21.0,0.1
10.0,0.1
14.0,0.1
17.0,0.1
27.0,0.1
21.0,0.1
3.0,0.1
19.0,0.1
20.0,0.1
33.0,0.1
17.0,6.7
20.0,6.7
24.0,6.7
19.0,6.7
20.0,6.7
24.0,6.7
10.0,3.6
26.0,3.6
13.0,3.6
21.0,3.6
23.0,3.6
3.0,3.6
3.0,-4.4
10.0,-4.4
3.0,-4.4
16.0,-4.4
3.0,-4.4
21.0,-4.4
16.0,-4.4
24.0,-4.4
