PtsW,Power Index FPI,Power Index OFF,Power Index DEF_Losing Team,Power Index ST,Ranks SOS,Ranks AVGWP,YdsW,TOW,EPA/play,OVR_SUCCESS_RATE,Dropback EPA,DROPBACK_SR,Rush EPA,RUN_SR,PtsL,Power Index FPI_Losing Team,Power Index OFF_Losing Team,Power Index DEF,Power Index ST_Losing Team,Ranks SOS_Losing Team,Ranks AVGWP_Losing Team,YdsL,TOL,EPA/play_Loss,OVR_SUCCESS_RATE_Loss,Dropback EPA_Loss,DROPBACK_SR_Loss,Rush EPA_Loss,RUN_SR_Loss
18.0,-2.0,0.9,1.3,-0.5,15.0,13.0,287.0,1.0,-0.07200000000000001,0.385,0.09300000000000001,0.474,-0.304,0.259,16.0,3.6,2.4,-2.4,-0.1,2.0,12.0,372.0,0.0,0.012,0.417,0.07400000000000001,0.441,-0.251,0.313
29.0,5.9,-2.9,1.3,0.5,3.0,8.0,500.0,1.0,0.22899999999999998,0.485,0.40700000000000003,0.563,0.061,0.412,10.0,3.6,2.4,8.3,-0.1,2.0,12.0,140.0,0.0,-0.069,0.415,-0.063,0.471,-0.079,0.316
37.0,7.9,3.5,1.3,-0.4,28.0,1.0,427.0,1.0,0.068,0.418,0.24,0.472,-0.132,0.355,29.0,3.6,2.4,4.8,-0.1,2.0,12.0,402.0,2.0,-0.04,0.355,0.053,0.3670000000000001,-0.389,0.313
20.0,2.8,0.8,1.3,0.2,11.0,7.0,242.0,2.0,-0.025,0.34700000000000003,-0.41100000000000003,0.217,0.317,0.462,13.0,3.6,2.4,1.8,-0.1,2.0,12.0,350.0,2.0,-0.177,0.3720000000000001,-0.183,0.407,-0.165,0.292
26.0,8.3,6.0,1.3,-0.4,17.0,3.0,368.0,2.0,0.051,0.438,0.187,0.489,-0.27,0.316,20.0,3.6,2.4,2.6,-0.1,2.0,12.0,386.0,1.0,0.053,0.35700000000000004,0.034,0.36,0.1,0.35
38.0,8.3,6.0,1.3,-0.4,17.0,3.0,381.0,2.0,-0.006999999999999999,0.482,0.094,0.469,-0.142,0.5,8.0,3.6,2.4,2.6,-0.1,2.0,12.0,178.0,4.0,-0.44299999999999995,0.314,-0.47700000000000004,0.348,-0.38,0.25
17.0,-2.6,0.1,1.3,0.0,12.0,27.0,290.0,0.0,-0.015,0.47,0.18899999999999997,0.529,-0.233,0.406,13.0,3.6,2.4,-2.7,-0.1,2.0,12.0,365.0,2.0,-0.184,0.436,-0.217,0.396,-0.114,0.52
18.0,-2.0,0.9,-1.2,-0.5,15.0,13.0,375.0,0.0,0.044000000000000004,0.443,0.18,0.535,-0.17300000000000001,0.29600000000000004,13.0,-2.2,-0.7,-2.4,-0.3,10.0,18.0,216.0,0.0,-0.047,0.412,0.099,0.452,-0.27399999999999997,0.35
33.0,4.1,1.0,-1.2,0.2,14.0,4.0,396.0,0.0,0.23199999999999998,0.455,0.39299999999999996,0.474,0.013999999999999999,0.429,13.0,-2.2,-0.7,3.0,-0.3,10.0,18.0,246.0,2.0,-0.163,0.377,-0.069,0.413,-0.45299999999999996,0.267
38.0,7.1,4.9,-1.2,0.3,5.0,9.0,597.0,2.0,0.14400000000000002,0.429,0.12,0.426,0.18899999999999997,0.433,35.0,-2.2,-0.7,1.9,-0.3,10.0,18.0,440.0,4.0,0.12300000000000001,0.391,0.196,0.435,-0.021,0.304
16.0,5.9,-2.9,-1.2,0.5,3.0,8.0,297.0,2.0,-0.185,0.362,-0.09699999999999999,0.45,-0.38,0.16699999999999998,10.0,-2.2,-0.7,8.3,-0.3,10.0,18.0,288.0,3.0,-0.24100000000000002,0.333,-0.297,0.409,-0.14300000000000002,0.2
23.0,6.8,2.4,-1.2,1.0,9.0,5.0,339.0,2.0,-0.077,0.431,-0.18,0.441,0.037000000000000005,0.419,17.0,-2.2,-0.7,3.3,-0.3,10.0,18.0,205.0,1.0,-0.146,0.339,-0.14,0.35700000000000004,-0.16399999999999998,0.28600000000000003
34.0,6.8,2.4,-1.2,1.0,9.0,5.0,232.0,2.0,-0.07,0.5,-0.124,0.5,0.021,0.5,20.0,-2.2,-0.7,3.3,-0.3,10.0,18.0,361.0,3.0,-0.247,0.392,-0.375,0.4,0.045,0.375
30.0,2.8,0.8,-1.2,0.2,11.0,7.0,385.0,0.0,0.22899999999999998,0.5479999999999999,0.133,0.5,0.318,0.594,14.0,-2.2,-0.7,1.8,-0.3,10.0,18.0,371.0,2.0,-0.068,0.422,-0.068,0.468,-0.07,0.294
30.0,3.6,2.4,-1.2,-0.1,2.0,12.0,293.0,2.0,-0.051,0.413,0.087,0.438,-0.295,0.37,20.0,-2.2,-0.7,1.3,-0.3,10.0,18.0,372.0,2.0,-0.201,0.364,-0.257,0.345,-0.062,0.409
22.0,-2.6,0.1,-1.2,0.0,12.0,27.0,371.0,3.0,-0.059000000000000004,0.423,0.284,0.521,-0.607,0.267,20.0,-2.2,-0.7,-2.7,-0.3,10.0,18.0,266.0,2.0,-0.155,0.448,0.011000000000000001,0.5,-0.428,0.364
45.0,-2.0,0.9,-0.5,-0.5,15.0,13.0,430.0,0.0,0.258,0.5,0.546,0.6509999999999999,-0.168,0.276,14.0,-1.6,-1.6,-2.4,0.5,22.0,20.0,227.0,1.0,-0.18600000000000005,0.362,-0.087,0.4,-0.336,0.304
20.0,-2.6,-0.2,-0.5,-0.3,20.0,28.0,289.0,0.0,0.006999999999999999,0.338,0.047,0.35,-0.057,0.32,19.0,-1.6,-1.6,-2.0,0.5,22.0,20.0,436.0,1.0,-0.035,0.404,0.043,0.456,-0.155,0.324
23.0,-2.8,-0.4,-0.5,-0.2,25.0,10.0,417.0,1.0,0.053,0.405,0.20199999999999999,0.48,-0.16699999999999998,0.294,20.0,-1.6,-1.6,-2.2,0.5,22.0,20.0,320.0,2.0,0.06,0.35700000000000004,0.33899999999999997,0.4320000000000001,-0.484,0.211
38.0,-2.8,-0.4,-0.5,-0.2,25.0,10.0,418.0,0.0,0.196,0.423,0.38799999999999996,0.49,-0.23199999999999998,0.273,24.0,-1.6,-1.6,-2.2,0.5,22.0,20.0,398.0,2.0,-0.114,0.42,-0.02,0.424,-0.529,0.4
27.0,7.9,3.5,-0.5,-0.4,28.0,1.0,394.0,3.0,-0.006,0.5,-0.205,0.5,0.16899999999999998,0.5,16.0,-1.6,-1.6,4.8,0.5,22.0,20.0,349.0,1.0,-0.077,0.349,-0.192,0.375,0.162,0.29600000000000004
40.0,8.3,6.0,-0.5,-0.4,17.0,3.0,493.0,0.0,0.28300000000000003,0.581,0.28800000000000003,0.541,0.27699999999999997,0.622,17.0,-1.6,-1.6,2.6,0.5,22.0,20.0,424.0,4.0,-0.21,0.422,-0.08900000000000001,0.489,-0.496,0.263
20.0,-4.2,-3.8,-0.5,0.0,16.0,23.0,359.0,2.0,-0.083,0.387,0.024,0.477,-0.23399999999999999,0.258,10.0,-1.6,-1.6,-0.5,0.5,22.0,20.0,226.0,3.0,-0.322,0.417,-0.09300000000000001,0.512,-0.9,0.17600000000000002
26.0,-2.1,0.1,-0.5,-0.2,32.0,19.0,395.0,2.0,-0.095,0.411,0.001,0.524,-0.22399999999999998,0.258,24.0,-1.6,-1.6,-2.0,0.5,22.0,20.0,399.0,2.0,0.005,0.466,0.023,0.481,-0.048,0.421
45.0,-3.2,0.1,-0.5,-0.4,31.0,25.0,521.0,1.0,0.374,0.452,0.67,0.545,0.13,0.375,17.0,-1.6,-1.6,-2.8,0.5,22.0,20.0,383.0,4.0,-0.091,0.458,-0.21,0.409,0.096,0.536
35.0,-2.0,0.9,-7.8,-0.5,15.0,13.0,396.0,1.0,0.31,0.667,0.479,0.7,0.07,0.619,27.0,-3.9,4.5,-2.4,-0.5,26.0,15.0,399.0,0.0,0.07,0.455,0.18,0.508,-0.292,0.278
24.0,-0.2,-2.2,-7.8,-0.1,21.0,21.0,362.0,1.0,0.055999999999999994,0.433,0.14,0.516,-0.016,0.361,6.0,-3.9,4.5,2.1,-0.5,26.0,15.0,268.0,1.0,-0.287,0.379,-0.33399999999999996,0.375,-0.062,0.4
47.0,-2.8,-0.4,-7.8,-0.2,25.0,10.0,510.0,0.0,0.359,0.468,0.613,0.5670000000000001,0.121,0.375,14.0,-3.9,4.5,-2.2,-0.5,26.0,15.0,350.0,2.0,-0.18100000000000002,0.439,-0.183,0.438,-0.177,0.44
39.0,-1.6,-1.6,-7.8,0.5,22.0,20.0,519.0,2.0,0.102,0.518,0.069,0.56,0.15,0.455,17.0,-3.9,4.5,-0.5,-0.5,26.0,15.0,388.0,4.0,-0.166,0.412,-0.249,0.396,0.034,0.45
27.0,7.9,3.5,-7.8,-0.4,28.0,1.0,431.0,0.0,0.256,0.446,0.391,0.528,0.09,0.345,22.0,-3.9,4.5,4.8,-0.5,26.0,15.0,380.0,2.0,0.16399999999999998,0.493,0.221,0.545,0.064,0.4
41.0,7.9,3.5,-7.8,-0.4,28.0,1.0,497.0,3.0,0.17600000000000002,0.532,0.369,0.583,-0.12300000000000001,0.452,38.0,-3.9,4.5,4.8,-0.5,26.0,15.0,334.0,1.0,0.055999999999999994,0.39,0.043,0.391,0.10300000000000001,0.385
31.0,8.3,6.0,-7.8,-0.4,17.0,3.0,427.0,1.0,0.21,0.459,0.512,0.5529999999999999,-0.28800000000000003,0.304,19.0,-3.9,4.5,2.6,-0.5,26.0,15.0,408.0,1.0,-0.021,0.37,0.061,0.423,-0.222,0.238
34.0,-8.2,-5.5,-7.8,-0.2,29.0,30.0,483.0,1.0,0.203,0.486,0.591,0.6,-0.313,0.333,28.0,-3.9,4.5,-2.5,-0.5,26.0,15.0,416.0,2.0,0.19,0.459,0.42,0.5710000000000001,-0.26,0.24
26.0,-3.2,0.1,-7.8,-0.4,31.0,25.0,333.0,2.0,-0.051,0.453,0.168,0.5,-0.271,0.406,19.0,-3.9,4.5,-2.8,-0.5,26.0,15.0,323.0,3.0,-0.09699999999999999,0.431,-0.198,0.435,0.083,0.423
32.0,-2.0,0.9,-3.1,-0.5,15.0,13.0,371.0,0.0,0.11900000000000001,0.507,0.24,0.581,-0.098,0.375,17.0,-8.3,-5.4,-2.4,0.2,4.0,32.0,322.0,1.0,-0.057999999999999996,0.468,-0.095,0.525,0.009000000000000001,0.364
24.0,4.1,1.0,-3.1,0.2,14.0,4.0,242.0,1.0,-0.18,0.313,0.21600000000000005,0.393,-0.48700000000000004,0.25,14.0,-8.3,-5.4,3.0,0.2,4.0,32.0,318.0,4.0,-0.292,0.368,-0.366,0.333,-0.016,0.5
43.0,7.1,4.9,-3.1,0.3,5.0,9.0,453.0,0.0,0.539,0.54,0.856,0.586,0.10099999999999999,0.476,18.0,-8.3,-5.4,1.9,0.2,4.0,32.0,409.0,1.0,0.027000000000000003,0.471,0.146,0.455,-0.191,0.5
20.0,8.8,6.0,-3.1,-0.3,6.0,6.0,388.0,2.0,0.068,0.377,0.138,0.438,0.008,0.324,3.0,-8.3,-5.4,3.0,0.2,4.0,32.0,142.0,0.0,-0.331,0.304,-0.377,0.267,-0.244,0.375
29.0,8.8,6.0,-3.1,-0.3,6.0,6.0,508.0,0.0,0.295,0.568,0.48200000000000004,0.611,0.11800000000000001,0.526,13.0,-8.3,-5.4,3.0,0.2,4.0,32.0,306.0,0.0,-0.019,0.34,0.027999999999999997,0.341,-0.18100000000000002,0.333
17.0,3.6,2.4,-3.1,-0.1,2.0,12.0,362.0,0.0,0.08800000000000001,0.479,0.124,0.452,0.038,0.516,3.0,-8.3,-5.4,1.3,0.2,4.0,32.0,196.0,1.0,-0.258,0.3,-0.231,0.257,-0.32,0.4
