PtsW,Power Index FPI,Power Index OFF,Power Index DEF_Losing Team,Power Index ST,Ranks SOS,Ranks AVGWP,YdsW,TOW,EPA/play,OVR_SUCCESS_RATE,Dropback EPA,DROPBACK_SR,Rush EPA,RUN_SR,PtsL,Power Index FPI_Losing Team,Power Index OFF_Losing Team,Power Index DEF,Power Index ST_Losing Team,Ranks SOS_Losing Team,Ranks AVGWP_Losing Team,YdsL,TOL,EPA/play_Loss,OVR_SUCCESS_RATE_Loss,Dropback EPA_Loss,DROPBACK_SR_Loss,Rush EPA_Loss,RUN_SR_Loss
24.0,3.5,0.5,-1.6,0.8,9.0,4.0,293.0,1.0,-0.121,0.3670000000000001,0.253,0.457,-0.643,0.24,3.0,-6.4,-4.1,2.2,-0.7,14.0,30.0,305.0,8.0,-0.355,0.412,-0.586,0.37,0.128,0.5
27.0,4.1,1.7,-1.6,-0.2,25.0,7.0,354.0,0.0,0.225,0.456,0.484,0.5710000000000001,-0.18600000000000005,0.273,17.0,-6.4,-4.1,2.5,-0.7,14.0,30.0,305.0,3.0,-0.023,0.366,0.125,0.4,-0.375,0.28600000000000003
28.0,3.6,0.4,-1.6,-0.5,27.0,17.0,396.0,0.0,0.228,0.5329999999999999,0.36200000000000004,0.625,0.075,0.429,3.0,-6.4,-4.1,3.6,-0.7,14.0,30.0,230.0,2.0,-0.26899999999999996,0.309,-0.281,0.333,-0.23,0.231
9.0,-10.2,-10.4,-1.6,0.2,10.0,29.0,280.0,0.0,-0.086,0.333,-0.03,0.306,-0.153,0.3670000000000001,6.0,-6.4,-4.1,0.0,-0.7,14.0,30.0,296.0,1.0,-0.086,0.333,-0.12300000000000001,0.371,-0.035,0.28
27.0,-2.9,-1.4,-1.6,-0.3,18.0,26.0,274.0,0.0,0.01,0.419,0.040999999999999995,0.419,-0.021,0.419,23.0,-6.4,-4.1,-1.1,-0.7,14.0,30.0,331.0,2.0,0.087,0.5,0.085,0.55,0.092,0.389
34.0,-2.9,-1.4,-1.6,-0.3,18.0,26.0,303.0,1.0,0.18,0.354,0.79,0.55,-0.256,0.214,13.0,-6.4,-4.1,-1.1,-0.7,14.0,30.0,360.0,4.0,-0.281,0.368,-0.344,0.327,-0.11699999999999999,0.476
28.0,3.8,3.8,-3.0,0.0,17.0,6.0,369.0,0.0,0.31,0.463,0.48100000000000004,0.435,0.183,0.484,7.0,0.7,3.1,0.0,0.6,26.0,15.0,310.0,2.0,-0.153,0.328,-0.092,0.405,-0.27,0.182
34.0,4.0,-3.9,-3.0,-0.1,2.0,23.0,400.0,1.0,0.07200000000000001,0.5429999999999999,0.191,0.615,-0.079,0.452,20.0,0.7,3.1,7.9,0.6,26.0,15.0,253.0,2.0,-0.159,0.408,-0.185,0.423,-0.086,0.368
30.0,3.5,0.5,-3.0,0.8,9.0,4.0,422.0,0.0,0.147,0.397,0.32299999999999995,0.438,-0.192,0.32,14.0,0.7,3.1,2.2,0.6,26.0,15.0,277.0,2.0,-0.201,0.415,-0.16399999999999998,0.392,-0.335,0.5
26.0,-1.2,-5.6,-3.0,-0.4,7.0,24.0,414.0,1.0,0.055999999999999994,0.478,0.121,0.512,-0.038,0.429,23.0,0.7,3.1,4.8,0.6,26.0,15.0,392.0,1.0,0.017,0.465,0.077,0.5,-0.08,0.407
22.0,-1.2,-5.6,-3.0,-0.4,7.0,24.0,316.0,1.0,-0.013999999999999999,0.493,-0.062,0.5,0.018000000000000002,0.488,17.0,0.7,3.1,4.8,0.6,26.0,15.0,348.0,3.0,-0.051,0.431,-0.126,0.42,0.198,0.467
33.0,-0.1,0.2,-3.0,0.6,1.0,16.0,463.0,0.0,0.213,0.479,0.34700000000000003,0.526,0.068,0.429,25.0,0.7,3.1,-0.9,0.6,26.0,15.0,390.0,3.0,0.067,0.574,0.273,0.618,-0.28300000000000003,0.5
39.0,-3.3,1.0,-3.0,-0.1,19.0,22.0,448.0,0.0,0.373,0.609,0.507,0.643,0.11599999999999999,0.545,35.0,0.7,3.1,-4.2,0.6,26.0,15.0,450.0,0.0,0.24600000000000002,0.493,0.331,0.5,-0.016,0.471
30.0,-3.1,-3.1,-3.0,-0.3,11.0,27.0,331.0,0.0,0.107,0.4370000000000001,0.18600000000000005,0.5,-0.038,0.32,27.0,0.7,3.1,0.3,0.6,26.0,15.0,284.0,1.0,0.07,0.468,0.07400000000000001,0.436,0.061,0.545
24.0,3.8,3.8,4.5,0.0,17.0,6.0,389.0,2.0,-0.006999999999999999,0.38,0.267,0.475,-0.36,0.258,14.0,-0.3,-4.8,0.0,-0.1,22.0,20.0,234.0,2.0,-0.242,0.475,-0.342,0.457,0.115,0.5379999999999999
24.0,1.7,-2.4,4.5,0.4,24.0,12.0,366.0,0.0,0.047,0.389,0.259,0.475,-0.217,0.281,10.0,-0.3,-4.8,3.7,-0.1,22.0,20.0,339.0,2.0,-0.217,0.364,-0.26,0.37,-0.11699999999999999,0.35
24.0,0.0,-2.2,4.5,0.6,6.0,19.0,286.0,1.0,-0.026000000000000002,0.389,0.221,0.5,-0.292,0.269,19.0,-0.3,-4.8,1.6,-0.1,22.0,20.0,470.0,3.0,-0.047,0.4270000000000001,-0.053,0.46,-0.033,0.34600000000000003
38.0,4.4,7.2,4.5,0.0,15.0,5.0,406.0,0.0,0.141,0.429,0.35600000000000004,0.5,-0.27,0.292,13.0,-0.3,-4.8,-2.8,-0.1,22.0,20.0,365.0,2.0,-0.126,0.381,-0.09300000000000001,0.426,-0.225,0.25
23.0,4.4,7.2,4.5,0.0,15.0,5.0,406.0,2.0,-0.005,0.395,-0.008,0.388,-0.0,0.407,16.0,-0.3,-4.8,-2.8,-0.1,22.0,20.0,221.0,1.0,-0.20600000000000002,0.345,-0.226,0.341,-0.145,0.35700000000000004
29.0,1.0,3.9,4.5,-0.1,23.0,21.0,403.0,1.0,0.146,0.435,0.366,0.512,-0.17600000000000002,0.321,27.0,-0.3,-4.8,-2.8,-0.1,22.0,20.0,457.0,3.0,0.033,0.478,0.07200000000000001,0.523,-0.042,0.391
27.0,3.8,3.8,-0.8,0.0,17.0,6.0,460.0,3.0,0.07,0.528,-0.196,0.484,0.271,0.561,20.0,-0.8,-0.1,0.0,0.1,29.0,13.0,275.0,1.0,-0.005,0.34600000000000003,0.055,0.389,-0.138,0.25
41.0,10.0,7.9,-0.8,0.5,32.0,1.0,357.0,0.0,0.325,0.448,0.5670000000000001,0.511,-0.171,0.318,25.0,-0.8,-0.1,1.6,0.1,29.0,13.0,376.0,0.0,0.105,0.403,-0.051,0.358,0.451,0.5
30.0,-6.4,-4.1,-0.8,-0.7,14.0,30.0,329.0,0.0,-0.115,0.361,0.17300000000000001,0.452,-0.413,0.267,10.0,-0.8,-0.1,-1.6,0.1,29.0,13.0,230.0,3.0,-0.408,0.355,-0.397,0.417,-0.423,0.269
37.0,-6.4,-4.1,-0.8,-0.7,14.0,30.0,493.0,1.0,0.282,0.507,0.522,0.6,-0.009000000000000001,0.394,31.0,-0.8,-0.1,-1.6,0.1,29.0,13.0,393.0,1.0,0.131,0.431,0.39,0.441,-0.386,0.412
31.0,4.1,1.7,-0.8,-0.2,25.0,7.0,278.0,0.0,0.22699999999999998,0.522,0.414,0.618,-0.303,0.25,25.0,-0.8,-0.1,2.5,0.1,29.0,13.0,425.0,1.0,0.126,0.512,0.18100000000000002,0.551,0.049,0.457
13.0,-0.4,-3.5,-0.8,1.0,28.0,9.0,308.0,1.0,-0.079,0.4,0.149,0.462,-0.42200000000000004,0.308,7.0,-0.8,-0.1,2.1,0.1,29.0,13.0,160.0,0.0,-0.165,0.34700000000000003,-0.068,0.321,-0.294,0.381
38.0,-0.1,0.2,-0.8,0.6,1.0,16.0,399.0,0.0,0.111,0.414,0.248,0.459,-0.044000000000000004,0.364,24.0,-0.8,-0.1,-0.9,0.1,29.0,13.0,382.0,2.0,0.081,0.528,-0.153,0.4320000000000001,0.44799999999999995,0.679
28.0,-2.9,-1.4,-0.8,-0.3,18.0,26.0,454.0,0.0,0.152,0.408,0.139,0.387,0.162,0.425,25.0,-0.8,-0.1,-1.1,0.1,29.0,13.0,267.0,0.0,0.055,0.375,0.083,0.425,-0.013999999999999999,0.25
34.0,-2.9,-1.4,-0.8,-0.3,18.0,26.0,494.0,1.0,0.267,0.463,0.25,0.414,0.28,0.5,31.0,-0.8,-0.1,-1.1,0.1,29.0,13.0,589.0,0.0,0.179,0.522,0.425,0.489,-0.067,0.556
31.0,3.8,3.8,2.1,0.0,17.0,6.0,406.0,2.0,0.20600000000000002,0.655,0.182,0.647,0.24600000000000002,0.667,27.0,-0.4,-3.5,0.0,1.0,28.0,9.0,368.0,1.0,0.064,0.373,0.099,0.375,0.001,0.37
27.0,1.6,1.7,2.1,-0.1,21.0,11.0,371.0,0.0,0.136,0.4920000000000001,0.145,0.5479999999999999,0.128,0.441,10.0,-0.4,-3.5,0.0,1.0,28.0,9.0,335.0,2.0,-0.142,0.458,-0.24100000000000002,0.455,0.17800000000000002,0.471
30.0,10.0,7.9,2.1,0.5,32.0,1.0,496.0,3.0,0.138,0.456,0.281,0.476,-0.09300000000000001,0.423,23.0,-0.4,-3.5,1.6,1.0,28.0,9.0,348.0,1.0,0.008,0.4,0.07400000000000001,0.4,-0.23399999999999999,0.4
24.0,-6.4,-4.1,2.1,-0.7,14.0,30.0,344.0,2.0,-0.057999999999999996,0.412,0.115,0.5,-0.195,0.342,16.0,-0.4,-3.5,-1.6,1.0,28.0,9.0,245.0,3.0,-0.391,0.281,-0.358,0.326,-0.531,0.091
27.0,-0.3,-4.8,2.1,-0.1,22.0,20.0,435.0,3.0,0.069,0.418,0.235,0.5,-0.419,0.17600000000000002,23.0,-0.4,-3.5,4.5,1.0,28.0,9.0,391.0,0.0,0.024,0.386,0.057,0.368,-0.048,0.423
28.0,-0.1,0.2,2.1,0.6,1.0,16.0,261.0,1.0,-0.07400000000000001,0.316,0.11199999999999999,0.41,-0.479,0.111,27.0,-0.4,-3.5,-0.9,1.0,28.0,9.0,412.0,1.0,-0.049,0.407,-0.113,0.424,0.09,0.37
27.0,4.3,5.0,2.1,0.4,31.0,3.0,417.0,0.0,0.196,0.521,0.47600000000000003,0.659,-0.188,0.333,17.0,-0.4,-3.5,-1.1,1.0,28.0,9.0,368.0,0.0,0.11699999999999999,0.509,0.12300000000000001,0.55,0.1,0.4
16.0,1.0,3.9,2.1,-0.1,23.0,21.0,310.0,2.0,-0.05,0.516,0.107,0.636,-0.39399999999999996,0.25,10.0,-0.4,-3.5,-2.8,1.0,28.0,9.0,306.0,1.0,-0.152,0.389,-0.187,0.404,-0.061,0.35
38.0,1.7,-2.4,-3.0,0.4,24.0,12.0,374.0,1.0,0.142,0.45,0.287,0.583,-0.075,0.25,10.0,-5.8,-2.6,3.7,-0.2,20.0,28.0,323.0,5.0,-0.264,0.4920000000000001,-0.406,0.591,-0.179,0.4320000000000001
27.0,-2.6,-1.1,-3.0,-0.1,30.0,14.0,375.0,0.0,0.22699999999999998,0.526,0.45399999999999996,0.5329999999999999,-0.024,0.519,21.0,-5.8,-2.6,-1.3,-0.2,20.0,28.0,411.0,2.0,0.011000000000000001,0.45,0.11900000000000001,0.456,-0.256,0.435
29.0,0.7,3.1,-3.0,0.6,26.0,15.0,396.0,0.0,0.08800000000000001,0.455,0.163,0.49,-0.128,0.353,23.0,-5.8,-2.6,-3.0,-0.2,20.0,28.0,522.0,1.0,0.17800000000000002,0.4920000000000001,0.20800000000000002,0.5429999999999999,0.10300000000000001,0.368
29.0,0.0,-2.2,-3.0,0.6,6.0,19.0,280.0,0.0,0.033,0.412,0.078,0.4,-0.031,0.429,14.0,-5.8,-2.6,1.6,-0.2,20.0,28.0,284.0,3.0,-0.332,0.5,-0.376,0.471,-0.249,0.556
36.0,-0.7,-1.1,-3.0,-0.5,5.0,18.0,360.0,1.0,0.067,0.413,0.3,0.512,-0.245,0.281,10.0,-5.8,-2.6,0.9,-0.2,20.0,28.0,283.0,4.0,-0.439,0.321,-0.589,0.27,-0.147,0.421
22.0,-0.3,-4.8,-3.0,-0.1,22.0,20.0,329.0,0.0,0.113,0.406,0.204,0.436,-0.028999999999999998,0.36,16.0,-5.8,-2.6,4.5,-0.2,20.0,28.0,315.0,1.0,0.036000000000000004,0.381,0.08199999999999999,0.395,-0.034,0.36
26.0,4.4,7.2,-3.0,0.0,15.0,5.0,406.0,1.0,0.16699999999999998,0.488,0.243,0.5379999999999999,-0.067,0.333,10.0,-5.8,-2.6,-2.8,-0.2,20.0,28.0,189.0,2.0,-0.23199999999999998,0.298,-0.295,0.333,-0.11900000000000001,0.235
30.0,4.4,7.2,-3.0,0.0,15.0,5.0,451.0,0.0,0.196,0.45,0.036000000000000004,0.462,0.493,0.429,27.0,-5.8,-2.6,-2.8,-0.2,20.0,28.0,449.0,4.0,0.08199999999999999,0.545,0.134,0.63,-0.038,0.35
23.0,-1.2,-5.6,-3.0,-0.4,7.0,24.0,344.0,1.0,-0.026000000000000002,0.384,0.132,0.487,-0.207,0.265,14.0,-5.8,-2.6,4.8,-0.2,20.0,28.0,258.0,1.0,-0.18600000000000005,0.386,-0.105,0.378,-0.33399999999999996,0.4
20.0,-3.3,1.0,-3.0,-0.1,19.0,22.0,323.0,2.0,-0.001,0.4370000000000001,0.096,0.522,-0.179,0.28,17.0,-5.8,-2.6,-4.2,-0.2,20.0,28.0,296.0,0.0,0.07,0.446,0.11800000000000001,0.459,-0.024,0.421
31.0,4.3,5.0,-3.0,0.4,31.0,3.0,447.0,1.0,0.18899999999999997,0.603,0.428,0.655,0.011000000000000001,0.564,17.0,-5.8,-2.6,-1.1,-0.2,20.0,28.0,390.0,2.0,-0.040999999999999995,0.429,-0.03,0.46,-0.084,0.308
41.0,1.0,3.9,-3.0,-0.1,23.0,21.0,478.0,0.0,0.381,0.545,0.376,0.5,0.386,0.588,21.0,-5.8,-2.6,-2.8,-0.2,20.0,28.0,458.0,5.0,-0.013000000000000001,0.529,-0.10300000000000001,0.523,0.139,0.5379999999999999
17.0,-3.1,-3.1,-3.0,-0.3,11.0,27.0,317.0,2.0,-0.021,0.475,0.10400000000000001,0.55,-0.28300000000000003,0.316,16.0,-5.8,-2.6,0.3,-0.2,20.0,28.0,389.0,0.0,-0.015,0.38,0.01,0.385,-0.063,0.37
25.0,1.7,-2.4,-1.3,0.4,24.0,12.0,301.0,0.0,-0.006,0.387,0.251,0.486,-0.34,0.259,16.0,-2.6,-1.1,3.7,-0.1,30.0,14.0,316.0,3.0,-0.243,0.515,0.062,0.568,-0.852,0.409
34.0,0.7,3.1,-1.3,0.6,26.0,15.0,422.0,0.0,0.273,0.5589999999999999,0.385,0.583,0.006,0.5,26.0,-2.6,-1.1,-3.0,-0.1,30.0,14.0,331.0,1.0,0.122,0.556,0.154,0.545,0.071,0.5710000000000001
24.0,0.7,3.1,-1.3,0.6,26.0,15.0,327.0,1.0,0.129,0.393,0.335,0.457,-0.215,0.28600000000000003,17.0,-2.6,-1.1,-3.0,-0.1,30.0,14.0,351.0,0.0,-0.006,0.444,0.21,0.489,-0.41,0.36
27.0,-1.2,-5.6,-1.3,-0.4,7.0,24.0,359.0,2.0,-0.031,0.5,0.087,0.55,-0.22699999999999998,0.417,20.0,-2.6,-1.1,4.8,-0.1,30.0,14.0,320.0,1.0,-0.013999999999999999,0.379,-0.047,0.378,0.028999999999999998,0.379
17.0,-0.1,0.2,-1.3,0.6,1.0,16.0,368.0,1.0,0.001,0.359,0.054000000000000006,0.4,-0.08800000000000001,0.292,10.0,-2.6,-1.1,-0.9,-0.1,30.0,14.0,393.0,3.0,-0.157,0.397,-0.354,0.333,0.10800000000000001,0.483
43.0,0.5,0.6,-1.3,-0.5,13.0,10.0,476.0,0.0,0.251,0.468,0.40700000000000003,0.55,0.083,0.378,35.0,-2.6,-1.1,0.5,-0.1,30.0,14.0,393.0,3.0,0.035,0.531,0.153,0.523,-0.22399999999999998,0.55
38.0,-3.1,-3.1,-1.3,-0.3,11.0,27.0,415.0,1.0,0.091,0.507,0.317,0.578,-0.299,0.385,17.0,-2.6,-1.1,0.3,-0.1,30.0,14.0,263.0,1.0,-0.168,0.397,-0.138,0.408,-0.24600000000000002,0.368
17.0,1.7,-2.4,-2.8,0.4,24.0,12.0,284.0,1.0,-0.043,0.368,0.203,0.472,-0.46299999999999997,0.19,14.0,4.4,7.2,3.7,0.0,15.0,5.0,263.0,3.0,-0.07200000000000001,0.408,0.102,0.5,-0.48700000000000004,0.19
47.0,-2.6,-1.1,-2.8,-0.1,30.0,14.0,446.0,0.0,0.341,0.414,0.768,0.586,-0.086,0.241,25.0,4.4,7.2,-1.3,0.0,15.0,5.0,402.0,3.0,0.055,0.416,0.105,0.438,-0.193,0.308
31.0,0.7,3.1,-2.8,0.6,26.0,15.0,355.0,2.0,0.08800000000000001,0.477,0.1,0.5,0.066,0.435,26.0,4.4,7.2,-3.0,0.0,15.0,5.0,405.0,1.0,0.106,0.485,0.15,0.5,-0.06,0.429
44.0,7.8,10.4,-2.8,0.1,4.0,2.0,493.0,0.0,0.414,0.507,0.852,0.667,-0.221,0.276,21.0,4.4,7.2,-2.8,0.0,15.0,5.0,367.0,2.0,0.16,0.47,0.268,0.5,-0.242,0.35700000000000004
33.0,7.8,10.4,-2.8,0.1,4.0,2.0,367.0,0.0,0.292,0.525,0.377,0.619,0.10400000000000001,0.316,32.0,4.4,7.2,-2.8,0.0,15.0,5.0,331.0,0.0,0.23199999999999998,0.475,0.325,0.5,-0.111,0.385
30.0,4.3,5.0,-2.8,0.4,31.0,3.0,424.0,2.0,0.128,0.516,0.264,0.5670000000000001,0.008,0.471,16.0,4.4,7.2,-1.1,0.0,15.0,5.0,372.0,4.0,-0.165,0.429,0.064,0.521,-0.665,0.227
42.0,1.0,3.9,-2.8,-0.1,23.0,21.0,515.0,0.0,0.495,0.4920000000000001,0.7190000000000001,0.588,0.214,0.37,24.0,4.4,7.2,-2.8,0.0,15.0,5.0,424.0,2.0,0.177,0.441,0.32299999999999995,0.49,-0.261,0.294
22.0,1.7,-2.4,2.0,0.4,24.0,12.0,211.0,0.0,-0.11,0.327,-0.024,0.433,-0.228,0.182,10.0,0.8,-1.1,3.7,-0.1,3.0,8.0,306.0,3.0,-0.21,0.364,-0.29,0.36,-0.062,0.37
17.0,-0.7,-1.1,2.0,-0.5,5.0,18.0,300.0,2.0,-0.172,0.339,-0.223,0.375,-0.08,0.273,16.0,0.8,-1.1,0.9,-0.1,3.0,8.0,335.0,3.0,-0.14300000000000002,0.42,-0.195,0.459,-0.083,0.375
17.0,-0.7,-1.1,2.0,-0.5,5.0,18.0,315.0,0.0,0.040999999999999995,0.4370000000000001,0.12,0.472,-0.039,0.4,14.0,0.8,-1.1,0.9,-0.1,3.0,8.0,414.0,4.0,-0.017,0.593,-0.153,0.655,0.142,0.52
21.0,4.0,-3.9,2.0,-0.1,2.0,23.0,307.0,3.0,0.027000000000000003,0.5,0.009000000000000001,0.563,0.051,0.417,20.0,0.8,-1.1,7.9,-0.1,3.0,8.0,333.0,1.0,0.042,0.426,0.031,0.4320000000000001,0.057,0.419
20.0,3.5,0.5,2.0,0.8,9.0,4.0,256.0,1.0,-0.035,0.429,-0.158,0.391,0.297,0.529,17.0,0.8,-1.1,2.2,-0.1,3.0,8.0,341.0,2.0,-0.032,0.431,-0.032,0.488,-0.031,0.345
48.0,7.8,10.4,2.0,0.1,4.0,2.0,571.0,1.0,0.298,0.4920000000000001,0.586,0.5710000000000001,-0.22699999999999998,0.348,33.0,0.8,-1.1,-2.8,-0.1,3.0,8.0,378.0,2.0,-0.004,0.441,0.096,0.491,-0.35700000000000004,0.267
33.0,7.8,10.4,2.0,0.1,4.0,2.0,408.0,0.0,0.243,0.508,0.29,0.5,0.162,0.522,16.0,0.8,-1.1,-2.8,-0.1,3.0,8.0,302.0,2.0,-0.183,0.368,-0.35200000000000004,0.327,0.255,0.474
40.0,4.1,1.7,2.0,-0.2,25.0,7.0,534.0,1.0,0.247,0.507,0.235,0.568,0.266,0.407,7.0,0.8,-1.1,2.5,-0.1,3.0,8.0,271.0,2.0,-0.292,0.298,-0.191,0.314,-0.451,0.273
35.0,-0.1,0.2,2.0,0.6,1.0,16.0,366.0,2.0,-0.022000000000000002,0.451,0.203,0.5710000000000001,-0.348,0.276,32.0,0.8,-1.1,-0.9,-0.1,3.0,8.0,358.0,2.0,0.08,0.413,0.039,0.417,0.135,0.407
41.0,1.9,6.7,2.0,-0.2,8.0,25.0,523.0,1.0,0.237,0.472,0.386,0.5,-0.15,0.4,38.0,0.8,-1.1,-4.5,-0.1,3.0,8.0,406.0,2.0,0.151,0.481,0.22399999999999998,0.509,0.003,0.423
31.0,1.7,-2.4,4.8,0.4,24.0,12.0,351.0,0.0,0.081,0.458,0.37799999999999995,0.5589999999999999,-0.185,0.368,13.0,-1.2,-5.6,3.7,-0.4,7.0,24.0,214.0,1.0,-0.172,0.375,-0.221,0.36,0.005,0.429
24.0,-2.6,-1.1,4.8,-0.1,30.0,14.0,236.0,1.0,-0.066,0.333,-0.057999999999999996,0.375,-0.075,0.28600000000000003,17.0,-1.2,-5.6,-1.3,-0.4,7.0,24.0,289.0,1.0,-0.035,0.403,0.009000000000000001,0.442,-0.149,0.3
34.0,10.0,7.9,4.8,0.5,32.0,1.0,377.0,3.0,-0.038,0.394,0.013999999999999999,0.3720000000000001,-0.136,0.435,16.0,-1.2,-5.6,1.6,-0.4,7.0,24.0,285.0,3.0,-0.324,0.348,-0.425,0.383,-0.10800000000000001,0.273
27.0,10.0,7.9,4.8,0.5,32.0,1.0,282.0,0.0,-0.037000000000000005,0.383,-0.129,0.36,0.028999999999999998,0.4,0.0,-1.2,-5.6,1.6,-0.4,7.0,24.0,284.0,3.0,-0.252,0.451,-0.302,0.489,-0.16699999999999998,0.385
27.0,4.0,-3.9,4.8,-0.1,2.0,23.0,347.0,0.0,0.05,0.46,0.046,0.444,0.053,0.472,9.0,-1.2,-5.6,7.9,-0.4,7.0,24.0,271.0,2.0,-0.235,0.391,-0.28,0.378,-0.149,0.417
21.0,4.4,7.2,4.8,0.0,15.0,5.0,309.0,1.0,-0.02,0.431,0.243,0.5,-0.39399999999999996,0.333,13.0,-1.2,-5.6,-2.8,-0.4,7.0,24.0,307.0,1.0,-0.049,0.424,-0.012,0.452,-0.113,0.375
27.0,-0.1,0.2,4.8,0.6,1.0,16.0,325.0,1.0,0.182,0.412,0.436,0.515,-0.284,0.222,20.0,-1.2,-5.6,-0.9,-0.4,7.0,24.0,354.0,2.0,0.11199999999999999,0.434,0.335,0.511,-0.21100000000000002,0.32299999999999995
21.0,0.5,0.6,4.8,-0.5,13.0,10.0,302.0,1.0,0.08,0.473,0.20199999999999999,0.514,-0.134,0.4,13.0,-1.2,-5.6,0.5,-0.4,7.0,24.0,353.0,4.0,-0.166,0.426,-0.028999999999999998,0.512,-0.402,0.28
30.0,1.7,-2.4,3.6,0.4,24.0,12.0,217.0,1.0,-0.11599999999999999,0.404,-0.051,0.471,-0.212,0.304,24.0,3.6,0.4,3.7,-0.5,27.0,17.0,290.0,2.0,-0.142,0.446,-0.259,0.426,0.063,0.481
23.0,10.0,7.9,3.6,0.5,32.0,1.0,363.0,2.0,0.099,0.435,0.373,0.5379999999999999,-0.256,0.3,21.0,3.6,0.4,1.6,-0.5,27.0,17.0,344.0,0.0,0.159,0.541,0.18,0.524,0.11,0.579
38.0,7.8,10.4,3.6,0.1,4.0,2.0,360.0,1.0,0.184,0.588,0.287,0.619,0.018000000000000002,0.5379999999999999,19.0,3.6,0.4,-2.8,-0.5,27.0,17.0,332.0,1.0,-0.012,0.422,0.05,0.44,-0.231,0.35700000000000004
6.0,4.1,1.7,3.6,-0.2,25.0,7.0,257.0,0.0,-0.265,0.365,-0.258,0.364,-0.281,0.368,6.0,3.6,0.4,2.5,-0.5,27.0,17.0,443.0,0.0,-0.102,0.43,-0.013999999999999999,0.473,-0.231,0.368
30.0,0.8,-1.1,3.6,-0.1,3.0,8.0,349.0,1.0,-0.038,0.424,0.09,0.429,-0.132,0.421,20.0,3.6,0.4,2.0,-0.5,27.0,17.0,340.0,2.0,-0.11599999999999999,0.429,-0.08,0.458,-0.305,0.273
17.0,-10.2,-10.4,3.6,0.2,10.0,29.0,288.0,1.0,-0.10400000000000001,0.328,0.126,0.459,-0.509,0.095,13.0,3.6,0.4,0.0,-0.5,27.0,17.0,420.0,5.0,-0.12300000000000001,0.434,-0.073,0.471,-0.22699999999999998,0.36
33.0,-0.8,-0.1,3.6,0.1,29.0,13.0,297.0,1.0,-0.084,0.377,-0.285,0.258,0.12300000000000001,0.5,18.0,3.6,0.4,-0.8,-0.5,27.0,17.0,348.0,5.0,-0.27399999999999997,0.402,-0.192,0.424,-0.484,0.348
26.0,-2.9,-1.4,3.6,-0.3,18.0,26.0,314.0,3.0,-0.147,0.3670000000000001,0.317,0.552,-0.5820000000000001,0.194,23.0,3.6,0.4,-1.1,-0.5,27.0,17.0,300.0,4.0,-0.184,0.471,-0.161,0.452,-0.22,0.5
48.0,1.9,6.7,3.6,-0.2,8.0,25.0,488.0,1.0,0.23,0.512,0.29600000000000004,0.519,0.11199999999999999,0.5,41.0,3.6,0.4,-4.5,-0.5,27.0,17.0,425.0,2.0,0.248,0.603,0.195,0.605,0.39899999999999997,0.6
25.0,1.7,-2.4,0.3,0.4,24.0,12.0,377.0,1.0,0.065,0.406,0.429,0.5,-0.466,0.269,16.0,-3.1,-3.1,3.7,-0.3,11.0,27.0,315.0,0.0,0.015,0.343,0.113,0.4,-0.185,0.227
36.0,-2.6,-1.1,0.3,-0.1,30.0,14.0,494.0,0.0,0.231,0.418,0.611,0.556,-0.025,0.325,22.0,-3.1,-3.1,-1.3,-0.3,11.0,27.0,370.0,1.0,0.094,0.465,0.17600000000000002,0.508,-0.409,0.2
24.0,0.7,3.1,0.3,0.6,26.0,15.0,384.0,2.0,-0.052000000000000005,0.464,0.013000000000000001,0.479,-0.19899999999999998,0.429,20.0,-3.1,-3.1,-3.0,-0.3,11.0,27.0,470.0,2.0,0.036000000000000004,0.493,0.006,0.535,0.079,0.433
20.0,4.0,-3.9,0.3,-0.1,2.0,23.0,206.0,0.0,-0.244,0.309,-0.308,0.379,-0.172,0.231,10.0,-3.1,-3.1,7.9,-0.3,11.0,27.0,333.0,3.0,-0.317,0.28600000000000003,-0.46299999999999997,0.292,-0.12300000000000001,0.278
19.0,3.5,0.5,0.3,0.8,9.0,4.0,231.0,0.0,-0.297,0.29100000000000004,-0.373,0.306,-0.151,0.263,14.0,-3.1,-3.1,2.2,-0.3,11.0,27.0,449.0,4.0,-0.106,0.455,0.07200000000000001,0.49,-0.418,0.393
27.0,4.4,7.2,0.3,0.0,15.0,5.0,294.0,0.0,0.18899999999999997,0.475,0.308,0.5379999999999999,-0.021,0.364,23.0,-3.1,-3.1,-2.8,-0.3,11.0,27.0,348.0,1.0,0.036000000000000004,0.423,0.171,0.444,-0.19699999999999998,0.385
24.0,-1.2,-5.6,0.3,-0.4,7.0,24.0,273.0,0.0,0.036000000000000004,0.355,-0.022000000000000002,0.406,0.09699999999999999,0.3,21.0,-3.1,-3.1,4.8,-0.3,11.0,27.0,327.0,2.0,-0.092,0.429,0.106,0.481,-0.556,0.304
21.0,-1.2,-5.6,0.3,-0.4,7.0,24.0,387.0,2.0,-0.151,0.415,-0.076,0.472,-0.28800000000000003,0.31,20.0,-3.1,-3.1,4.8,-0.3,11.0,27.0,150.0,1.0,-0.316,0.28300000000000003,-0.364,0.265,-0.231,0.316
