Pts,FPI
30.0,-5.1
47.0,2.6
27.0,2.6
26.0,2.6
21.0,2.6
24.0,2.6
34.0,2.6
26.0,2.6
20.0,2.6
22.0,2.6
26.0,2.6
16.0,-1.6
31.0,-1.6
33.0,-1.6
21.0,-1.6
36.0,-1.6
42.0,-1.6
33.0,-1.6
24.0,-5.8
31.0,-5.8
23.0,-5.8
20.0,-5.8
20.0,-5.8
16.0,-5.8
16.0,-5.8
27.0,-0.6
20.0,-0.6
45.0,-0.6
23.0,-0.6
24.0,-0.6
24.0,-0.6
24.0,2.2
22.0,2.2
33.0,2.2
31.0,2.2
34.0,2.2
44.0,2.2
48.0,-8.5
34.0,-8.5
42.0,-8.5
27.0,-8.5
31.0,2.7
34.0,2.7
23.0,2.7
38.0,2.7
40.0,2.7
24.0,2.7
34.0,2.7
20.0,-2.8
9.0,-2.8
26.0,-2.8
28.0,-2.8
34.0,-2.8
26.0,-2.8
30.0,-2.8
17.0,-2.8
25.0,-2.8
30.0,-5.8
34.0,-5.8
20.0,-5.8
26.0,-5.8
24.0,4.9
16.0,4.9
48.0,4.9
24.0,4.9
41.0,4.9
34.0,4.9
25.0,4.9
23.0,4.9
15.0,4.9
24.0,4.9
14.0,4.9
24.0,4.9
21.0,-4.0
12.0,-4.0
28.0,-4.0
35.0,-4.0
26.0,-4.0
17.0,-4.0
26.0,-4.0
27.0,-1.3
27.0,-1.3
38.0,-1.3
30.0,-1.3
40.0,-1.3
27.0,-4.2
13.0,-4.2
41.0,-4.2
24.0,-4.2
14.0,-4.2
42.0,-4.2
24.0,4.2
20.0,4.2
27.0,4.2
28.0,4.2
27.0,4.2
30.0,4.2
43.0,4.2
21.0,4.2
38.0,4.2
27.0,4.2
26.0,-3.0
31.0,-3.0
32.0,-3.0
20.0,-3.0
17.0,-3.0
31.0,-3.0
37.0,2.9
19.0,2.9
20.0,2.9
20.0,2.9
42.0,2.9
19.0,2.9
23.0,2.9
34.0,2.9
29.0,2.9
29.0,2.9
20.0,2.9
45.0,-7.6
23.0,-7.6
24.0,-7.6
27.0,-7.6
28.0,-12.9
18.0,-12.9
20.0,-12.9
22.0,2.4
13.0,2.4
27.0,2.4
53.0,2.4
31.0,2.4
27.0,2.4
26.0,2.4
20.0,2.4
28.0,2.4
24.0,2.4
23.0,2.4
20.0,4.7
28.0,4.7
43.0,4.7
24.0,4.7
