,Pts,FPI
302,20.0,1.6
303,17.0,1.6
304,17.0,1.6
305,20.0,1.6
306,10.0,1.6
307,14.0,1.6
308,14.0,1.6
309,12.0,1.6
310,27.0,1.6
311,13.0,-6.4
312,10.0,-6.4
313,22.0,-6.4
314,17.0,-6.4
315,3.0,-6.4
316,3.0,-6.4
317,17.0,-6.4
318,3.0,-6.4
319,6.0,-6.4
320,23.0,-6.4
321,13.0,-6.4
322,7.0,0.7
323,20.0,0.7
324,14.0,0.7
325,23.0,0.7
326,17.0,0.7
327,25.0,0.7
328,35.0,0.7
329,27.0,0.7
330,14.0,-0.3
331,10.0,-0.3
332,19.0,-0.3
333,13.0,-0.3
334,16.0,-0.3
335,27.0,-0.3
336,20.0,-0.8
337,25.0,-0.8
338,10.0,-0.8
339,31.0,-0.8
340,25.0,-0.8
341,7.0,-0.8
342,24.0,-0.8
343,25.0,-0.8
344,31.0,-0.8
345,27.0,-0.4
346,10.0,-0.4
347,23.0,-0.4
348,16.0,-0.4
349,23.0,-0.4
350,27.0,-0.4
351,17.0,-0.4
352,10.0,-0.4
353,10.0,-5.8
354,21.0,-5.8
355,23.0,-5.8
356,14.0,-5.8
357,10.0,-5.8
358,16.0,-5.8
359,10.0,-5.8
360,27.0,-5.8
361,14.0,-5.8
362,17.0,-5.8
363,17.0,-5.8
364,21.0,-5.8
365,16.0,-5.8
366,16.0,-2.6
367,26.0,-2.6
368,17.0,-2.6
369,20.0,-2.6
370,10.0,-2.6
371,35.0,-2.6
372,17.0,-2.6
373,14.0,4.4
374,25.0,4.4
375,26.0,4.4
376,21.0,4.4
377,32.0,4.4
378,16.0,4.4
379,24.0,4.4
380,10.0,0.8
381,16.0,0.8
382,14.0,0.8
383,20.0,0.8
384,17.0,0.8
385,33.0,0.8
386,16.0,0.8
387,7.0,0.8
388,32.0,0.8
389,38.0,0.8
390,13.0,-1.2
391,17.0,-1.2
392,16.0,-1.2
393,0.0,-1.2
394,9.0,-1.2
395,13.0,-1.2
396,20.0,-1.2
397,13.0,-1.2
398,24.0,3.6
399,21.0,3.6
400,19.0,3.6
401,6.0,3.6
402,20.0,3.6
403,13.0,3.6
404,18.0,3.6
405,23.0,3.6
406,41.0,3.6
407,16.0,-3.1
408,22.0,-3.1
409,20.0,-3.1
410,10.0,-3.1
411,14.0,-3.1
412,23.0,-3.1
413,21.0,-3.1
414,20.0,-3.1
415,17.0,-3.1
416,16.0,-3.1
417,19.0,-3.1
418,14.0,-3.1
419,21.0,-3.1
420,15.0,-3.3
421,6.0,-3.3
422,6.0,-3.3
423,24.0,-3.3
424,27.0,-3.3
425,13.0,-3.3
426,21.0,-3.3
427,14.0,-3.3
428,10.0,4.0
429,3.0,4.0
430,27.0,4.0
431,10.0,4.0
432,16.0,4.0
433,20.0,4.0
434,13.0,4.0
435,22.0,0.5
436,21.0,0.5
437,19.0,0.5
438,27.0,0.5
439,27.0,0.5
440,31.0,0.5
441,16.0,0.5
442,16.0,0.5
443,24.0,0.5
444,34.0,0.5
445,17.0,0.5
446,6.0,1.7
447,10.0,1.7
448,25.0,1.7
449,16.0,1.7
450,13.0,1.7
451,15.0,1.7
452,20.0,1.7
453,10.0,1.7
454,14.0,0.0
455,23.0,0.0
456,15.0,0.0
457,13.0,0.0
458,26.0,0.0
459,23.0,0.0
460,23.0,0.0
461,20.0,0.0
462,22.0,0.0
463,13.0,4.3
464,19.0,4.3
465,7.0,4.3
466,31.0,4.3
467,3.0,3.8
468,17.0,3.8
469,16.0,3.8
470,14.0,3.8
471,30.0,3.8
472,15.0,3.8
473,15.0,7.8
474,24.0,7.8
475,28.0,7.8
476,28.0,7.8
477,24.0,7.8
478,30.0,7.8
479,17.0,-6.2
480,17.0,-6.2
481,17.0,-6.2
482,13.0,-6.2
483,23.0,-6.2
484,18.0,-6.2
485,21.0,-6.2
486,20.0,-6.2
487,27.0,-6.2
488,17.0,-6.2
489,16.0,-6.2
490,24.0,-6.2
491,6.0,-6.2
492,23.0,-6.2
493,5.0,4.1
494,20.0,4.1
495,31.0,4.1
496,10.0,4.1
497,3.0,4.1
498,20.0,4.1
499,11.0,1.9
500,23.0,1.9
501,21.0,1.9
502,32.0,1.9
503,32.0,1.9
504,13.0,1.9
505,34.0,1.9
506,13.0,1.9
507,20.0,1.9
508,10.0,-10.2
509,14.0,-10.2
510,10.0,-10.2
511,3.0,-10.2
512,6.0,-10.2
513,28.0,-10.2
514,0.0,-10.2
515,21.0,-10.2
516,10.0,-10.2
517,19.0,-10.2
518,10.0,-10.2
519,21.0,-10.2
520,6.0,-0.1
521,10.0,-0.1
522,13.0,-0.1
523,28.0,-0.1
524,14.0,-0.1
525,7.0,-0.7
526,28.0,-0.7
527,7.0,-0.7
528,24.0,-0.7
529,20.0,-0.7
530,32.0,-0.7
531,24.0,-0.7
532,24.0,10.0
533,0.0,10.0
534,21.0,3.1
535,30.0,3.1
536,10.0,3.1
537,13.0,3.1
538,17.0,3.1
539,31.0,3.1
540,9.0,3.1
541,16.0,4.0
542,10.0,4.0
543,20.0,4.0
544,17.0,4.0
545,24.0,4.0
546,20.0,4.0
547,33.0,4.0
548,27.0,4.1
549,31.0,4.1
550,24.0,4.1
551,7.0,4.1
552,9.0,4.1
553,24.0,4.1
554,14.0,4.1
555,22.0,-10.3
556,16.0,-10.3
557,0.0,-10.3
558,10.0,-10.3
559,7.0,-10.3
560,17.0,-10.3
561,16.0,-10.3
562,9.0,-10.3
563,13.0,-10.3
