,Pts,FPI
483,26.0,4.3
484,42.0,4.3
485,9.0,-10.2
486,37.0,-10.2
487,17.0,-10.2
488,9.0,-10.2
489,38.0,0.5
490,21.0,0.5
491,33.0,0.5
492,43.0,0.5
493,21.0,0.5
494,33.0,-0.8
495,16.0,-0.8
496,30.0,-0.8
497,45.0,-0.8
498,16.0,-0.8
499,28.0,-0.8
500,33.0,-0.8
501,30.0,-2.9
502,30.0,-2.9
503,28.0,-2.9
504,27.0,-2.9
505,31.0,-2.9
506,14.0,-2.9
507,31.0,-2.9
508,26.0,-2.9
509,34.0,-2.9
510,34.0,-2.9
511,29.0,1.0
512,31.0,1.0
513,16.0,1.0
514,27.0,1.0
515,27.0,1.0
516,26.0,1.0
517,42.0,1.0
518,27.0,1.0
519,41.0,1.0
520,30.0,-3.1
521,17.0,-3.1
522,38.0,-3.1
523,17.0,-5.8
524,20.0,-5.8
525,26.0,-5.8
526,35.0,1.9
527,41.0,1.9
528,25.0,1.9
529,41.0,1.9
530,49.0,1.9
531,48.0,1.9
532,31.0,1.9
533,20.0,-9.7
534,22.0,-2.2
535,37.0,-2.2
536,33.0,-2.2
537,36.0,-2.2
538,12.0,-2.2
539,23.0,-2.2
540,24.0,-2.2
541,20.0,-2.2
542,24.0,-2.2
543,15.0,-2.2
544,26.0,4.5
545,23.0,4.5
546,34.0,4.5
547,30.0,4.5
548,25.0,4.5
549,27.0,4.5
550,34.0,4.5
551,34.0,4.5
552,20.0,4.5
553,24.0,4.5
554,22.0,4.5
555,10.0,4.0
556,45.0,4.0
557,29.0,4.0
558,44.0,4.0
559,30.0,4.0
560,27.0,4.0
561,23.0,4.0
562,20.0,4.0
563,19.0,4.0
564,30.0,4.0
565,30.0,4.0
566,45.0,4.0
567,31.0,6.7
568,34.0,6.7
569,20.0,6.7
570,52.0,6.7
571,26.0,6.7
572,20.0,6.7
573,30.0,6.7
574,47.0,6.7
575,34.0,6.7
576,31.0,6.7
577,31.0,6.7
578,23.0,6.7
579,15.0,8.1
580,38.0,8.1
581,41.0,8.1
582,30.0,8.1
583,27.0,8.1
584,26.0,8.1
585,34.0,8.1
586,28.0,8.1
587,34.0,8.1
588,33.0,8.1
589,51.0,8.1
590,37.0,8.1
591,31.0,8.1
592,43.0,8.1
593,34.0,8.1
594,19.0,8.1
595,35.0,8.7
596,24.0,8.7
597,36.0,8.7
598,36.0,8.7
599,19.0,8.7
600,24.0,8.7
601,23.0,8.7
602,21.0,8.7
603,41.0,8.7
604,33.0,8.7
605,35.0,8.7
606,23.0,8.7
607,27.0,8.7
608,37.0,8.7
609,26.0,8.7
610,29.0,6.0
611,29.0,6.0
612,34.0,6.0
613,20.0,6.0
614,23.0,6.0
615,24.0,6.0
616,33.0,6.0
617,38.0,6.0
618,24.0,6.0
619,30.0,6.0
620,14.0,6.0
621,34.0,6.0
622,16.0,6.0
623,23.0,6.0
624,42.0,3.1
625,27.0,3.1
626,24.0,3.1
627,29.0,3.1
628,42.0,3.1
629,29.0,3.1
630,26.0,3.1
631,30.0,3.1
632,29.0,3.1
633,27.0,3.1
634,26.0,-1.2
635,45.0,-1.2
636,31.0,-1.2
637,27.0,-1.2
638,21.0,-1.2
639,24.0,-1.2
640,21.0,-4.4
641,26.0,-4.4
642,23.0,-4.4
643,30.0,-4.4
644,34.0,-4.4
645,16.0,-4.4
646,13.0,-4.4
647,24.0,-4.4
648,22.0,-4.4
649,21.0,5.5
650,26.0,5.5
651,26.0,5.5
652,19.0,5.5
653,29.0,5.5
654,20.0,5.5
655,20.0,5.5
656,40.0,5.5
657,31.0,5.5
658,23.0,5.5
659,39.0,5.5
660,34.0,5.5
661,28.0,5.5
662,20.0,1.9
663,24.0,1.9
664,30.0,1.9
665,40.0,1.9
666,23.0,1.9
667,23.0,1.9
668,44.0,1.9
669,27.0,1.9
670,23.0,1.9
671,35.0,1.0
672,24.0,1.0
673,14.0,1.0
674,30.0,1.0
675,38.0,1.0
676,27.0,1.0
677,24.0,1.0
678,20.0,1.0
679,35.0,1.0
680,46.0,3.9
681,41.0,3.9
682,35.0,3.9
683,27.0,3.9
684,33.0,3.9
685,51.0,3.9
686,33.0,3.9
687,26.0,3.9
688,32.0,3.9
689,42.0,3.9
690,27.0,3.9
691,23.0,3.6
692,9.0,3.6
693,33.0,3.6
694,27.0,3.6
695,17.0,3.6
696,20.0,3.6
697,45.0,3.6
698,35.0,3.6
699,31.0,3.6
700,31.0,3.6
701,22.0,3.6
702,17.0,-2.8
703,27.0,-2.8
704,35.0,-2.8
705,35.0,-2.8
706,23.0,-2.8
707,26.0,-2.8
708,27.0,-2.8
709,19.0,2.9
710,28.0,2.9
711,40.0,2.9
712,33.0,2.9
713,28.0,2.9
714,38.0,2.9
715,30.0,2.9
716,20.0,2.9
717,6.0,2.9
718,24.0,-4.3
719,42.0,-4.3
720,16.0,-4.3
721,23.0,-4.3
722,25.0,-4.3
723,13.0,-5.7
724,57.0,-5.7
725,33.0,-5.7
726,31.0,-5.7
727,16.0,-4.9
728,18.0,-4.9
729,38.0,-4.9
730,20.0,-4.9
731,27.0,-4.9
732,12.0,-4.9
733,23.0,-4.9
734,26.0,-4.9
735,29.0,0.1
736,25.0,0.1
737,15.0,0.1
738,30.0,0.1
739,31.0,0.1
740,19.0,-5.0
741,16.0,-5.0
742,20.0,-5.0
743,31.0,-5.0
744,35.0,-5.0
745,27.0,-5.0
746,12.0,4.1
747,46.0,4.1
748,16.0,4.1
749,24.0,4.1
750,41.0,4.1
751,22.0,4.1
752,24.0,4.1
753,24.0,4.1
754,21.0,4.1
755,27.0,1.0
756,27.0,1.0
757,26.0,1.0
758,17.0,1.0
759,20.0,1.0
760,20.0,1.0
761,27.0,1.0
762,20.0,-7.3
763,23.0,-7.3
764,17.0,-7.3
765,34.0,-7.3
766,38.0,-7.3
767,31.0,-10.3
768,26.0,-10.3
769,20.0,-10.3
770,22.0,-10.3
771,23.0,-5.0
772,27.0,-5.0
773,17.0,-5.0
774,33.0,-5.0
775,20.0,-5.0
776,31.0,-3.7
777,20.0,-3.7
778,24.0,-3.7
779,20.0,-3.7
780,30.0,-3.7
781,26.0,-3.7
782,31.0,-3.7
783,27.0,6.1
784,17.0,6.1
785,21.0,6.1
786,54.0,6.1
787,28.0,6.1
788,19.0,6.1
789,30.0,6.1
790,14.0,6.1
791,30.0,6.1
792,23.0,-2.6
793,12.0,-2.6
794,18.0,-2.6
795,31.0,-3.0
796,15.0,-3.0
797,26.0,-3.0
798,25.0,-3.0
799,44.0,-3.0
800,34.0,-3.0
801,21.0,4.2
