,Abbr,EPA/play,Success Rate (SR),Dropback EPA,Dropback SR,Rush EPA,Rush SR,week,year
1473,CAR,-0.038,41.4%,-0.009000000000000001,43.2%,-0.08800000000000001,38.1%,13,2017
1474,ATL,-0.057999999999999996,35.8%,-0.002,40.6%,-0.14300000000000002,28.6%,13,2017
1475,IND,-0.071,47.8%,-0.122,46.7%,0.031,50.0%,13,2017
1476,DET,-0.084,39.7%,0.052000000000000005,50.0%,-0.355,19.0%,13,2017
1477,CHI,-0.12300000000000001,29.7%,0.006999999999999999,38.1%,-0.295,18.8%,13,2017
1478,WAS,-0.149,40.0%,-0.126,44.2%,-0.20600000000000002,29.4%,13,2017
1479,NYG,-0.16899999999999998,41.9%,-0.17800000000000002,41.5%,-0.151,42.9%,13,2017
1480,ARI,-0.245,37.5%,-0.4,34.1%,0.094,45.0%,13,2017
1481,BUF,-0.257,35.4%,-0.48700000000000004,29.5%,0.226,47.6%,13,2017
1482,MIA,-0.309,37.3%,-0.41,37.1%,-0.198,37.5%,13,2017
1483,DEN,-0.43799999999999994,35.7%,-0.58,31.3%,-0.127,45.5%,13,2017
1484,LAC,0.445,50.0%,0.9990000000000001,62.9%,-0.22399999999999998,34.5%,12,2017
1485,ATL,0.27699999999999997,50.8%,0.6,57.1%,-0.127,42.9%,12,2017
1486,CIN,0.217,57.6%,0.361,57.6%,0.034,57.7%,12,2017
1487,GB,0.215,43.6%,0.402,46.9%,-0.046,39.1%,12,2017
1488,MIN,0.20600000000000002,42.3%,0.526,55.6%,-0.124,28.6%,12,2017
1489,PIT,0.121,50.0%,0.304,62.0%,-0.293,22.7%,12,2017
1490,NE,0.11900000000000001,46.3%,0.324,48.5%,-0.08,44.1%,12,2017
1491,LA,0.11599999999999999,41.9%,0.231,46.2%,-0.158,31.8%,12,2017
1492,CLE,0.09300000000000001,42.0%,0.013000000000000001,37.2%,0.22399999999999998,50.0%,12,2017
1493,PHI,0.087,45.3%,0.203,51.1%,-0.10800000000000001,35.7%,12,2017
1494,TB,0.079,49.3%,0.11599999999999999,52.0%,-0.008,42.9%,12,2017
1495,SEA,0.066,44.8%,0.18100000000000002,46.5%,-0.139,41.7%,12,2017
1496,LV,0.05,46.2%,0.29100000000000004,51.7%,-0.145,41.7%,12,2017
1497,NO,0.044000000000000004,42.1%,-0.046,43.9%,0.275,37.5%,12,2017
1498,CAR,0.040999999999999995,32.4%,0.127,32.4%,-0.044000000000000004,32.4%,12,2017
1499,TEN,-0.012,43.6%,-0.04,39.3%,0.017,48.1%,12,2017
1500,BAL,-0.027999999999999997,36.4%,-0.099,38.5%,0.07400000000000001,33.3%,12,2017
1501,HOU,-0.063,39.7%,0.039,45.2%,-0.228,30.8%,12,2017
1502,NYJ,-0.078,42.6%,-0.016,46.5%,-0.184,36.0%,12,2017
1503,BUF,-0.106,37.3%,0.113,41.2%,-0.33299999999999996,33.3%,12,2017
1504,ARI,-0.111,38.0%,-0.071,44.4%,-0.179,26.9%,12,2017
1505,DET,-0.115,36.2%,0.054000000000000006,40.5%,-0.5579999999999999,25.0%,12,2017
1506,DEN,-0.132,25.4%,-0.106,28.9%,-0.21600000000000003,14.3%,12,2017
1507,JAX,-0.14800000000000002,45.2%,-0.11199999999999999,50.0%,-0.213,36.4%,12,2017
1508,WAS,-0.15,42.0%,-0.16,47.5%,-0.136,34.5%,12,2017
1509,IND,-0.17800000000000002,36.5%,-0.096,40.0%,-0.321,30.4%,12,2017
1510,SF,-0.207,35.7%,-0.243,35.4%,-0.128,36.4%,12,2017
1511,MIA,-0.215,41.7%,-0.132,44.2%,-0.42700000000000005,35.3%,12,2017
1512,DAL,-0.23800000000000002,51.9%,-0.40299999999999997,45.5%,0.022000000000000002,61.9%,12,2017
1513,KC,-0.29600000000000004,38.6%,-0.23600000000000002,45.2%,-0.46299999999999997,20.0%,12,2017
1514,NYG,-0.389,28.6%,-0.594,24.2%,-0.09300000000000001,34.8%,12,2017
1515,CHI,-0.419,29.6%,-0.3,37.5%,-0.757,7.1%,12,2017
1516,NE,0.33799999999999997,56.7%,0.53,61.5%,-0.019,47.6%,11,2017
1517,WAS,0.257,41.4%,0.42100000000000004,51.3%,0.049,29.0%,11,2017
1518,PHI,0.255,45.6%,0.255,42.9%,0.254,48.3%,11,2017
1519,LAC,0.23600000000000002,50.0%,0.354,60.5%,0.096,37.5%,11,2017
1520,ATL,0.21899999999999997,44.1%,0.6,58.1%,-0.20199999999999999,28.6%,11,2017
1521,MIN,0.213,49.4%,0.364,56.8%,0.011000000000000001,39.4%,11,2017
1522,NO,0.19399999999999998,53.6%,0.17,57.4%,0.245,45.5%,11,2017
1523,PIT,0.157,56.3%,0.237,57.4%,-0.096,52.9%,11,2017
1524,DET,0.113,48.4%,0.27699999999999997,51.3%,-0.16399999999999998,43.5%,11,2017
1525,CHI,0.087,47.6%,0.135,51.4%,0.027000000000000003,42.9%,11,2017
1526,HOU,0.023,45.7%,0.05,51.4%,-0.006,39.4%,11,2017
1527,TB,-0.004,34.8%,0.13699999999999998,40.9%,-0.285,22.7%,11,2017
1528,SEA,-0.015,52.1%,-0.019,51.8%,-0.001,52.9%,11,2017
1529,CIN,-0.025,34.0%,0.247,44.8%,-0.354,20.8%,11,2017
1530,LV,-0.067,46.6%,-0.139,40.4%,0.111,61.9%,11,2017
1531,NYG,-0.07,40.6%,-0.045,43.6%,-0.10099999999999999,36.7%,11,2017
1532,MIA,-0.091,32.8%,0.045,42.2%,-0.41200000000000003,10.5%,11,2017
1533,TEN,-0.128,46.8%,-0.135,50.0%,-0.109,38.9%,11,2017
1534,LA,-0.14,43.9%,-0.102,45.2%,-0.244,40.0%,11,2017
1535,KC,-0.14400000000000002,40.0%,-0.187,44.9%,-0.063,30.8%,11,2017
1536,ARI,-0.149,37.9%,0.04,48.8%,-0.605,11.8%,11,2017
1537,BAL,-0.182,41.4%,-0.174,40.6%,-0.193,42.3%,11,2017
1538,DEN,-0.188,41.5%,-0.146,45.1%,-0.258,35.5%,11,2017
1539,JAX,-0.19899999999999998,28.9%,-0.16699999999999998,36.4%,-0.22399999999999998,23.3%,11,2017
1540,BUF,-0.218,44.6%,-0.446,45.5%,0.261,42.9%,11,2017
1541,DAL,-0.48,32.3%,-0.8140000000000001,30.6%,-0.017,34.6%,11,2017
1542,GB,-0.547,38.2%,-0.574,39.1%,-0.49,36.4%,11,2017
1543,CLE,-0.629,27.8%,-0.797,30.8%,-0.19,20.0%,11,2017
1544,CAR,0.474,54.9%,0.5479999999999999,59.5%,0.39399999999999996,50.0%,10,2017
1545,NO,0.38799999999999996,58.9%,0.32299999999999995,50.0%,0.433,65.1%,10,2017
1546,MIN,0.23,52.5%,0.496,63.3%,-0.044000000000000004,41.4%,10,2017
1547,SF,0.22699999999999998,43.1%,0.589,56.0%,-0.048,33.3%,10,2017
1548,NE,0.17800000000000002,60.0%,0.35200000000000004,68.3%,-0.067,48.3%,10,2017
1549,GB,0.155,50.8%,0.33299999999999996,53.3%,0.002,48.6%,10,2017
1550,NYG,0.12300000000000001,46.2%,0.23199999999999998,53.7%,-0.064,33.3%,10,2017
1551,ATL,0.087,38.5%,0.396,51.6%,-0.195,26.5%,10,2017
1552,LA,0.078,39.1%,0.163,40.5%,-0.084,36.4%,10,2017
1553,MIA,0.07,43.6%,0.13699999999999998,48.7%,-0.092,31.3%,10,2017
1554,DET,0.063,44.0%,0.166,45.5%,-0.138,41.2%,10,2017
1555,WAS,0.037000000000000005,45.9%,0.098,45.8%,-0.07400000000000001,46.2%,10,2017
1556,PIT,-0.002,43.1%,0.139,50.0%,-0.177,34.5%,10,2017
1557,DEN,-0.009000000000000001,38.7%,0.022000000000000002,41.2%,-0.046,35.7%,10,2017
1558,TEN,-0.037000000000000005,45.6%,-0.065,46.4%,0.009000000000000001,44.1%,10,2017
1559,SEA,-0.043,32.8%,0.081,43.9%,-0.295,10.0%,10,2017
1560,CLE,-0.067,43.2%,-0.172,36.5%,0.12,55.2%,10,2017
1561,TB,-0.10400000000000001,30.4%,0.025,41.0%,-0.271,16.7%,10,2017
1562,ARI,-0.11,37.5%,0.095,47.4%,-0.621,13.0%,10,2017
1563,IND,-0.11199999999999999,37.9%,-0.002,35.5%,-0.239,40.7%,10,2017
1564,LAC,-0.11699999999999999,39.7%,0.021,41.0%,-0.301,37.9%,10,2017
1565,JAX,-0.125,32.1%,-0.13,37.3%,-0.115,20.0%,10,2017
1566,CHI,-0.134,31.7%,-0.059000000000000004,39.0%,-0.297,15.8%,10,2017
1567,CIN,-0.159,39.2%,-0.057,40.5%,-0.428,35.7%,10,2017
1568,DAL,-0.20600000000000002,38.1%,-0.228,41.3%,-0.147,29.4%,10,2017
1569,NYJ,-0.215,27.5%,-0.139,33.3%,-0.38799999999999996,14.3%,10,2017
1570,HOU,-0.29,34.8%,-0.32299999999999995,40.0%,-0.22899999999999998,25.0%,10,2017
1571,BUF,-0.341,34.0%,-0.34600000000000003,35.3%,-0.32799999999999996,30.8%,10,2017
1572,KC,0.358,55.4%,0.502,60.0%,0.127,48.0%,1,2017
1573,MIN,0.299,41.3%,0.606,48.6%,-0.084,32.1%,1,2017
1574,ATL,0.237,47.4%,0.536,54.3%,-0.23800000000000002,36.4%,1,2017
1575,LV,0.152,44.6%,0.226,50.0%,0.048,37.0%,1,2017
1576,NO,0.136,50.0%,0.285,58.5%,-0.155,33.3%,1,2017
1577,JAX,0.10099999999999999,46.8%,0.218,56.5%,0.032,41.0%,1,2017
1578,BUF,0.079,37.8%,0.267,47.1%,-0.081,30.0%,1,2017
1579,DAL,0.07400000000000001,47.9%,0.18899999999999997,48.8%,-0.091,46.7%,1,2017
1580,LA,0.057999999999999996,38.7%,0.34,51.6%,-0.22399999999999998,25.8%,1,2017
1581,TEN,0.055999999999999994,42.2%,0.08900000000000001,40.9%,-0.018000000000000002,45.0%,1,2017
1582,LAC,0.023,44.8%,0.21899999999999997,55.6%,-0.29600000000000004,27.3%,1,2017
1583,PIT,0.011000000000000001,36.8%,0.157,45.0%,-0.331,17.6%,1,2017
1584,GB,0.008,46.2%,0.11199999999999999,55.4%,-0.257,22.7%,1,2017
1585,NE,0.005,43.0%,0.13,40.0%,-0.161,47.1%,1,2017
1586,CHI,0.004,38.8%,-0.142,34.0%,0.34600000000000003,50.0%,1,2017
1587,DEN,-0.008,41.8%,0.18600000000000003,51.4%,-0.247,30.0%,1,2017
1588,CAR,-0.013999999999999999,39.7%,0.21899999999999997,50.0%,-0.201,31.4%,1,2017
1589,BAL,-0.035,36.4%,0.075,45.5%,-0.09,31.8%,1,2017
1590,CLE,-0.067,41.5%,0.078,46.5%,-0.35200000000000004,31.8%,1,2017
1591,PHI,-0.091,40.3%,0.161,51.1%,-0.606,18.2%,1,2017
1592,DET,-0.113,40.6%,0.035,48.8%,-0.358,26.9%,1,2017
1593,NYG,-0.159,44.6%,-0.17,48.9%,-0.11599999999999999,27.3%,1,2017
1594,NYJ,-0.226,32.1%,-0.31,31.7%,0.006,33.3%,1,2017
1595,WAS,-0.239,38.1%,-0.23800000000000002,40.8%,-0.245,28.6%,1,2017
1596,SEA,-0.243,40.8%,-0.213,48.5%,-0.304,25.0%,1,2017
1597,ARI,-0.276,40.5%,-0.215,44.6%,-0.465,27.8%,1,2017
1598,SF,-0.39899999999999997,38.6%,-0.355,45.0%,-0.501,23.5%,1,2017
1599,HOU,-0.418,38.0%,-0.526,39.7%,-0.122,33.3%,1,2017
1600,CIN,-0.512,27.9%,-0.777,28.9%,-0.073,26.1%,1,2017
1601,IND,-0.583,32.7%,-0.9490000000000001,29.6%,-0.134,36.4%,1,2017
1602,KC,0.43200000000000005,58.1%,0.599,63.2%,0.16699999999999998,50.0%,9,2018
1603,ATL,0.40700000000000003,52.9%,0.501,52.3%,0.235,54.2%,9,2018
1604,SF,0.322,46.2%,0.845,60.9%,-0.092,34.5%,9,2018
1605,NO,0.305,49.3%,0.695,60.0%,-0.23399999999999999,34.5%,9,2018
1606,CAR,0.23399999999999999,53.4%,0.26,58.6%,0.20800000000000002,48.3%,9,2018
1607,LAC,0.22,42.0%,0.268,46.4%,0.159,36.4%,9,2018
1608,NE,0.21,49.3%,0.16,50.0%,0.285,48.1%,9,2018
1609,PIT,0.20199999999999999,46.8%,0.33899999999999997,47.2%,-0.079,46.2%,9,2018
1610,LA,0.196,48.3%,0.354,54.5%,-0.239,31.3%,9,2018
1611,TEN,0.138,48.5%,0.401,55.6%,-0.158,40.6%,9,2018
1612,CLE,0.11,45.8%,0.138,51.1%,0.059000000000000004,36.0%,9,2018
1613,GB,0.043,49.3%,0.131,44.0%,-0.14800000000000002,60.9%,9,2018
1614,BAL,0.036000000000000004,45.9%,0.095,44.4%,-0.131,50.0%,9,2018
1615,HOU,0.012,50.0%,0.302,61.8%,-0.34,35.7%,9,2018
1616,TB,0.003,38.2%,0.09300000000000001,43.1%,-0.266,23.5%,9,2018
1617,DEN,-0.015,40.9%,0.055999999999999994,43.5%,-0.18,35.0%,9,2018
1618,CHI,-0.026000000000000002,45.8%,0.16699999999999998,50.0%,-0.21899999999999997,41.7%,9,2018
1619,WAS,-0.055999999999999994,40.6%,-0.055999999999999994,40.7%,-0.055999999999999994,40.0%,9,2018
1620,MIN,-0.059000000000000004,46.9%,0.154,57.7%,-0.301,34.8%,9,2018
1621,SEA,-0.094,48.7%,-0.13699999999999998,49.0%,-0.023,48.3%,9,2018
1622,DAL,-0.142,42.4%,-0.155,42.9%,-0.109,41.2%,9,2018
1623,LV,-0.168,32.1%,-0.172,32.4%,-0.161,31.8%,9,2018
1624,DET,-0.205,38.6%,-0.289,36.7%,-0.009000000000000001,42.9%,9,2018
1625,NYJ,-0.311,34.8%,-0.354,35.6%,-0.217,33.3%,9,2018
1626,MIA,-0.32,29.6%,-0.294,36.7%,-0.35200000000000004,20.8%,9,2018
1627,BUF,-0.331,34.8%,-0.361,40.9%,-0.247,17.4%,9,2018
1628,IND,0.38799999999999996,60.8%,0.516,63.6%,0.285,58.5%,8,2018
1629,HOU,0.331,43.1%,0.7759999999999999,52.0%,-0.006,36.4%,8,2018
1630,CAR,0.248,50.0%,0.344,57.1%,0.122,40.7%,8,2018
1631,SEA,0.222,45.3%,0.867,60.0%,-0.071,38.6%,8,2018
1632,KC,0.193,48.3%,0.364,53.7%,-0.218,35.3%,8,2018
1633,LV,0.18600000000000003,51.0%,0.41100000000000003,55.2%,-0.142,45.0%,8,2018
1634,PHI,0.172,47.5%,0.268,54.1%,0.011000000000000001,36.4%,8,2018
1635,CHI,0.166,43.1%,0.316,50.0%,0.002,35.5%,8,2018
1636,GB,0.146,44.2%,0.188,44.1%,0.067,44.4%,8,2018
1637,PIT,0.08900000000000001,51.4%,0.094,50.0%,0.083,53.1%,8,2018
1638,LA,0.08199999999999999,40.8%,0.184,41.3%,-0.073,40.0%,8,2018
1639,DET,0.08,47.5%,0.20199999999999999,55.3%,-0.39799999999999996,16.7%,8,2018
1640,CIN,0.076,46.9%,0.226,50.0%,-0.17600000000000002,41.7%,8,2018
1641,DEN,0.07400000000000001,52.1%,0.06,43.9%,0.092,63.3%,8,2018
1642,TB,0.073,42.5%,0.114,44.4%,-0.035,37.5%,8,2018
1643,NE,0.068,48.6%,0.175,56.0%,-0.174,31.8%,8,2018
1644,WAS,0.013999999999999999,38.8%,0.14300000000000002,37.1%,-0.126,40.6%,8,2018
1645,NO,0.006,47.2%,0.17800000000000002,58.3%,-0.13699999999999998,37.9%,8,2018
1646,BAL,-0.002,47.8%,-0.073,42.0%,0.185,63.2%,8,2018
1647,ARI,-0.07400000000000001,36.9%,-0.031,41.3%,-0.179,26.3%,8,2018
1648,MIA,-0.076,37.9%,-0.128,34.1%,0.009000000000000001,44.0%,8,2018
1649,NYJ,-0.077,25.9%,0.04,34.4%,-0.247,13.6%,8,2018
1650,CLE,-0.09,38.1%,-0.033,44.2%,-0.212,25.0%,8,2018
1651,MIN,-0.096,47.2%,-0.035,54.2%,-0.22,33.3%,8,2018
1652,JAX,-0.107,39.7%,-0.049,40.4%,-0.38,36.4%,8,2018
1653,NYG,-0.122,33.3%,-0.086,34.5%,-0.267,28.6%,8,2018
1654,SF,-0.129,40.9%,-0.122,42.9%,-0.13699999999999998,38.7%,8,2018
1655,BUF,-0.379,33.3%,-0.387,35.6%,-0.35700000000000004,27.8%,8,2018
1656,DET,0.38799999999999996,50.8%,0.638,64.3%,0.175,39.4%,7,2018
1657,KC,0.381,57.1%,0.5329999999999999,60.5%,0.14,51.9%,7,2018
1658,LAC,0.255,48.8%,0.486,57.1%,-0.17600000000000002,33.3%,7,2018
1659,CAR,0.23800000000000002,52.6%,0.21,50.0%,0.335,61.5%,7,2018
1660,NO,0.215,52.1%,0.337,54.5%,0.109,50.0%,7,2018
1661,IND,0.214,54.1%,0.332,51.9%,0.12,55.9%,7,2018
1662,BAL,0.195,50.0%,0.27,51.1%,0.048,47.8%,7,2018
1663,ATL,0.188,45.3%,0.332,55.6%,-0.153,21.1%,7,2018
1664,MIA,0.18100000000000002,42.9%,0.265,47.4%,0.006,33.3%,7,2018
1665,LA,0.14400000000000002,55.2%,0.34700000000000003,57.7%,-0.021,53.1%,7,2018
1666,NYG,0.141,41.9%,0.299,46.5%,-0.217,31.6%,7,2018
1667,NE,0.135,51.6%,0.377,57.9%,-0.22,42.3%,7,2018
1668,TEN,0.13,53.6%,0.263,56.4%,-0.042,50.0%,7,2018
1669,PHI,0.124,41.8%,0.228,45.2%,-0.051,36.0%,7,2018
1670,CHI,0.046,44.4%,0.151,49.2%,-0.27399999999999997,30.0%,7,2018
1671,DEN,0.046,39.3%,0.15,46.4%,-0.059000000000000004,32.1%,7,2018
1672,HOU,-0.013999999999999999,35.5%,0.017,33.3%,-0.043,37.5%,7,2018
1673,MIN,-0.046,32.4%,0.035,37.2%,-0.187,24.0%,7,2018
1674,TB,-0.086,46.8%,-0.008,52.9%,-0.29100000000000004,30.8%,7,2018
1675,WAS,-0.08800000000000001,35.0%,0.146,36.7%,-0.322,33.3%,7,2018
1676,DAL,-0.10800000000000001,40.9%,-0.011000000000000001,40.8%,-0.387,41.2%,7,2018
1677,CLE,-0.13699999999999998,39.7%,-0.036000000000000004,40.0%,-0.335,39.1%,7,2018
1678,CIN,-0.24,37.9%,-0.129,46.2%,-0.46799999999999997,21.1%,7,2018
1679,JAX,-0.262,42.6%,-0.252,47.2%,-0.29600000000000004,26.7%,7,2018
1680,NYJ,-0.444,29.6%,-0.503,31.3%,-0.321,26.1%,7,2018
1681,BUF,-0.479,41.1%,-0.807,38.2%,0.027000000000000003,45.5%,7,2018
1682,SF,-0.484,39.0%,-0.616,34.3%,-0.293,45.8%,7,2018
1683,ARI,-0.644,37.9%,-0.805,39.1%,-0.27399999999999997,35.0%,7,2018
1684,PIT,0.282,47.1%,0.39299999999999996,49.0%,0.022000000000000002,42.9%,6,2018
1685,TB,0.261,53.1%,0.344,57.4%,0.03,41.2%,6,2018
1686,LAC,0.245,55.2%,0.253,43.5%,0.24,62.9%,6,2018
1687,ATL,0.24100000000000002,50.7%,0.469,62.2%,-0.223,27.3%,6,2018
1688,PHI,0.228,45.1%,0.498,54.8%,-0.163,31.0%,6,2018
1689,SF,0.21,54.4%,0.26899999999999996,51.7%,0.15,57.1%,6,2018
1690,KC,0.201,48.1%,0.205,50.0%,0.193,43.8%,6,2018
1691,NE,0.19,52.6%,0.22399999999999998,52.5%,0.151,52.8%,6,2018
1692,SEA,0.185,44.4%,0.524,55.6%,-0.068,36.1%,6,2018
1693,LA,0.16399999999999998,52.8%,-0.07200000000000001,38.9%,0.401,66.7%,6,2018
1694,BAL,0.154,40.0%,0.244,43.9%,0.044000000000000004,35.3%,6,2018
1695,CHI,0.135,53.6%,0.294,53.7%,-0.098,53.6%,6,2018
1696,GB,0.124,44.3%,0.165,42.3%,0.008,50.0%,6,2018
1697,DAL,0.102,41.1%,0.171,47.4%,0.027000000000000003,34.3%,6,2018
1698,CIN,0.08800000000000001,50.8%,0.113,54.2%,-0.006,38.5%,6,2018
1699,MIA,0.062,47.4%,0.183,50.0%,-0.124,43.3%,6,2018
1700,CAR,0.047,51.7%,0.11,53.5%,-0.133,46.7%,6,2018
1701,DEN,0.005,44.6%,0.04,48.0%,-0.11199999999999999,33.3%,6,2018
1702,NYJ,-0.02,41.8%,0.171,57.1%,-0.228,25.0%,6,2018
1703,WAS,-0.057,42.0%,-0.161,38.6%,0.128,48.0%,6,2018
1704,IND,-0.099,49.3%,-0.10400000000000001,46.8%,-0.087,54.5%,6,2018
1705,MIN,-0.156,40.6%,-0.361,51.3%,0.11199999999999999,26.7%,6,2018
1706,NYG,-0.16399999999999998,32.3%,-0.32899999999999996,29.8%,0.267,38.9%,6,2018
1707,LV,-0.27899999999999997,40.0%,-0.23399999999999999,44.2%,-0.39399999999999996,29.4%,6,2018
1708,BUF,-0.28600000000000003,27.4%,-0.34299999999999997,23.1%,-0.19,34.8%,6,2018
1709,HOU,-0.28800000000000003,33.3%,-0.29600000000000004,35.1%,-0.276,30.4%,6,2018
1710,CLE,-0.326,32.9%,-0.41600000000000004,34.0%,-0.087,30.0%,6,2018
1711,ARI,-0.35200000000000004,39.7%,-0.287,40.5%,-0.466,38.1%,6,2018
1712,TEN,-0.41700000000000004,22.7%,-0.467,26.7%,-0.311,14.3%,6,2018
1713,JAX,-0.467,35.4%,-0.578,38.7%,-0.264,29.4%,6,2018
1714,NO,0.386,55.7%,0.691,72.7%,0.027999999999999997,35.7%,5,2018
1715,PIT,0.33399999999999996,51.7%,0.5429999999999999,57.6%,0.078,44.4%,5,2018
1716,LA,0.268,54.7%,0.40700000000000003,63.2%,0.066,42.3%,5,2018
1717,LAC,0.264,45.0%,0.657,63.3%,-0.128,26.7%,5,2018
1718,SEA,0.237,45.8%,0.42100000000000004,48.0%,0.10099999999999999,44.1%,5,2018
1719,GB,0.19899999999999998,48.7%,0.265,51.7%,-0.023,38.9%,5,2018
1720,NE,0.18600000000000003,56.1%,0.225,63.6%,0.11,40.9%,5,2018
1721,NYJ,0.16899999999999998,41.0%,0.17,34.8%,0.16699999999999998,44.7%,5,2018
1722,MIN,0.085,53.3%,0.281,60.0%,-0.307,40.0%,5,2018
1723,KC,0.066,39.7%,0.233,52.4%,-0.204,19.2%,5,2018
1724,NYG,0.054000000000000006,40.0%,0.19,46.2%,-0.27699999999999997,25.0%,5,2018
1725,CIN,0.028999999999999998,39.0%,0.172,47.2%,-0.195,26.1%,5,2018
1726,DET,0.027999999999999997,31.7%,0.153,33.3%,-0.124,29.6%,5,2018
1727,LV,-0.026000000000000002,49.0%,-0.027000000000000003,51.3%,-0.021,41.7%,5,2018
1728,CAR,-0.034,42.6%,0.142,46.2%,-0.271,37.9%,5,2018
1729,HOU,-0.049,48.8%,0.145,60.0%,-0.475,24.0%,5,2018
1730,ATL,-0.052000000000000005,39.4%,-0.011000000000000001,43.4%,-0.17300000000000001,27.8%,5,2018
1731,DEN,-0.054000000000000006,44.7%,-0.040999999999999995,45.6%,-0.096,42.1%,5,2018
1732,IND,-0.066,41.7%,-0.07,42.9%,-0.055999999999999994,38.1%,5,2018
1733,ARI,-0.10099999999999999,36.2%,-0.08199999999999999,37.0%,-0.127,35.0%,5,2018
1734,PHI,-0.10300000000000001,49.1%,0.023,50.0%,-0.45399999999999996,46.7%,5,2018
1735,SF,-0.131,46.9%,-0.031,51.6%,-0.313,38.2%,5,2018
1736,WAS,-0.139,41.7%,-0.223,42.9%,0.055999999999999994,38.9%,5,2018
1737,CLE,-0.14,39.2%,-0.1,41.2%,-0.213,35.7%,5,2018
1738,BAL,-0.14800000000000002,41.4%,-0.201,44.4%,-0.008,33.3%,5,2018
1739,DAL,-0.151,39.3%,-0.114,44.1%,-0.198,33.3%,5,2018
1740,JAX,-0.154,47.0%,-0.237,44.1%,0.22,60.0%,5,2018
1741,BUF,-0.17,40.9%,-0.41100000000000003,36.0%,-0.023,43.9%,5,2018
1742,MIA,-0.245,46.0%,-0.413,45.0%,0.046,47.8%,5,2018
1743,TEN,-0.28,38.9%,-0.23199999999999998,43.3%,-0.341,33.3%,5,2018
1744,LA,0.494,56.4%,0.7090000000000001,62.2%,0.052000000000000005,44.4%,4,2018
1745,CHI,0.49,64.4%,0.9259999999999999,74.2%,0.006999999999999999,53.6%,4,2018
1746,DET,0.273,42.6%,0.48,47.1%,-0.078,35.0%,4,2018
1747,CIN,0.249,51.4%,0.318,54.9%,0.08,42.9%,4,2018
1748,NO,0.244,44.1%,0.24,41.0%,0.249,48.3%,4,2018
1749,ATL,0.225,49.3%,0.44,58.1%,-0.131,34.6%,4,2018
1750,DAL,0.20800000000000002,57.4%,0.25,57.1%,0.16399999999999998,57.6%,4,2018
1751,NE,0.20600000000000002,46.2%,0.45399999999999996,56.4%,-0.043,35.9%,4,2018
1752,KC,0.201,51.9%,0.17300000000000001,50.9%,0.261,54.2%,4,2018
1753,MIN,0.155,46.6%,0.255,50.9%,-0.20199999999999999,31.3%,4,2018
1754,TEN,0.134,47.1%,0.302,51.9%,-0.354,33.3%,4,2018
1755,BAL,0.08800000000000001,48.6%,0.262,50.0%,-0.168,46.7%,4,2018
1756,HOU,0.083,47.6%,0.249,56.9%,-0.172,33.3%,4,2018
1757,DEN,0.07400000000000001,48.3%,-0.086,39.5%,0.35100000000000003,63.6%,4,2018
1758,PHI,0.040999999999999995,44.9%,0.063,43.1%,-0.024,50.0%,4,2018
1759,SEA,0.034,49.2%,0.034,54.8%,0.033,44.1%,4,2018
1760,JAX,0.022000000000000002,43.4%,0.272,50.0%,-0.322,34.4%,4,2018
1761,LV,-0.008,43.8%,0.057999999999999996,49.2%,-0.152,32.1%,4,2018
1762,LAC,-0.02,45.3%,-0.053,47.5%,0.034,41.7%,4,2018
1763,CLE,-0.027999999999999997,37.7%,-0.053,38.3%,0.01,36.7%,4,2018
1764,SF,-0.039,45.0%,-0.026000000000000002,48.8%,-0.071,35.3%,4,2018
1765,GB,-0.04,50.0%,0.059000000000000004,53.2%,-0.201,44.8%,4,2018
1766,IND,-0.04,43.8%,0.16699999999999998,48.6%,-0.917,23.5%,4,2018
1767,NYG,-0.067,46.7%,-0.057999999999999996,52.2%,-0.096,28.6%,4,2018
1768,ARI,-0.083,41.7%,0.19899999999999998,48.5%,-0.428,33.3%,4,2018
1769,TB,-0.11599999999999999,39.7%,-0.046,44.4%,-0.289,27.8%,4,2018
1770,PIT,-0.23399999999999999,38.3%,-0.182,44.9%,-0.465,9.1%,4,2018
1771,NYJ,-0.24100000000000002,27.3%,-0.235,30.2%,-0.26,16.7%,4,2018
1772,MIA,-0.36700000000000005,26.5%,-0.151,32.3%,-0.74,16.7%,4,2018
1773,BUF,-0.414,31.0%,-0.47,31.1%,-0.21899999999999997,30.8%,4,2018
1774,KC,0.38299999999999995,55.6%,0.588,59.6%,-0.004,48.0%,3,2018
1775,NO,0.302,52.6%,0.4,60.4%,0.094,36.0%,3,2018
1776,LA,0.248,57.3%,0.379,62.8%,0.073,50.0%,3,2018
1777,SF,0.237,55.2%,0.256,56.4%,0.21100000000000002,53.6%,3,2018
1778,ATL,0.21600000000000003,49.2%,0.5660000000000001,65.9%,-0.518,14.3%,3,2018
1779,NYG,0.21600000000000003,48.3%,0.47600000000000003,64.7%,-0.124,26.9%,3,2018
1780,MIA,0.215,38.1%,0.48200000000000004,48.4%,-0.537,9.1%,3,2018
1781,WAS,0.17300000000000001,42.4%,0.392,55.2%,-0.038,30.0%,3,2018
1782,PIT,0.14,44.4%,0.32799999999999996,51.2%,-0.263,30.0%,3,2018
1783,CAR,0.13699999999999998,48.5%,0.136,44.4%,0.138,51.3%,3,2018
1784,LAC,0.13,42.3%,0.06,37.5%,0.24100000000000002,50.0%,3,2018
