RK,TEAM,TOTAL DVOA,LAST WEEK,TOTAL DAVE,RANK,W-L,OFFENSE DVOA,OFF. RANK,DEFENSE DVOA,DEF. RANK,S.T. DVOA,S.T. RANK,WEEK,YEAR,WEIGHTED DVOA,RANK,non-adj VOA,Last Year,ESTIM. WINS,EW RANK,SCHEDULE RANK,RANK,PYTH WINS,RANK,VAR.,RANK,PAST SCHED,RANK,FUTURE SCHED,RANK
4,CIN,0.360,4,0.182,4,3-0,0.265,5,-0.118,7,-0.023,22,3,2015,,,,,,,,,,,,,,,,
5,BUF,0.288,14,0.082,8,2-1,0.265,6,0.001,12,0.024,9,3,2015,,,,,,,,,,,,,,,,
6,PIT,0.248,3,0.116,7,2-1,0.328,4,0.037,19,-0.042,26,3,2015,,,,,,,,,,,,,,,,
7,DEN,0.230,7,0.181,5,3-0,-0.243,31,-0.396,1,0.076,3,3,2015,,,,,,,,,,,,,,,,
8,CAR,0.203,8,0.061,11,3-0,0.107,9,-0.210,4,-0.113,30,3,2015,,,,,,,,,,,,,,,,
9,NYJ,0.185,2,0.075,10,2-1,-0.119,22,-0.345,2,-0.040,24,3,2015,,,,,,,,,,,,,,,,
10,ATL,0.147,10,0.077,9,3-0,0.232,7,0.098,25,0.013,14,3,2015,,,,,,,,,,,,,,,,
11,TEN,0.112,9,-0.041,21,1-2,0.043,11,-0.163,6,-0.094,29,3,2015,,,,,,,,,,,,,,,,
12,SEA,0.083,23,0.173,6,1-2,-0.041,16,0.034,18,0.158,1,3,2015,,,,,,,,,,,,,,,,
13,NYG,0.055,18,0.003,15,1-2,0.069,10,0.032,17,0.018,12,3,2015,,,,,,,,,,,,,,,,
14,OAK,0.051,25,-0.040,20,2-1,0.128,8,0.114,28,0.037,7,3,2015,,,,,,,,,,,,,,,,
15,DAL,0.009,11,-0.043,22,2-1,0.041,12,0.038,21,0.006,17,3,2015,,,,,,,,,,,,,,,,
16,MIN,0.007,24,0.031,13,2-1,0.030,13,0.038,20,0.016,13,3,2015,,,,,,,,,,,,,,,,
17,STL,-0.005,16,0.046,12,1-2,-0.118,21,-0.081,8,0.032,8,3,2015,,,,,,,,,,,,,,,,
18,PHI,-0.025,26,0.017,14,1-2,-0.183,27,-0.174,5,-0.016,21,3,2015,,,,,,,,,,,,,,,,
19,WAS,-0.038,13,-0.133,25,1-2,-0.040,15,-0.009,11,-0.007,18,3,2015,,,,,,,,,,,,,,,,
20,BAL,-0.098,17,-0.010,16,0-3,-0.048,17,0.073,24,0.023,11,3,2015,,,,,,,,,,,,,,,,
21,KC,-0.139,12,-0.023,17,1-2,-0.137,23,0.025,16,0.024,10,3,2015,,,,,,,,,,,,,,,,
22,IND,-0.148,29,-0.027,18,1-2,-0.087,19,0.015,14,-0.046,27,3,2015,,,,,,,,,,,,,,,,
23,DET,-0.184,22,-0.050,23,0-3,-0.149,24,0.048,22,0.013,15,3,2015,,,,,,,,,,,,,,,,
